,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Informal Methods of Enhancing the Accountability of Lawyers [article],"Wendel, W. Bradley (Cited 837 times)","South Carolina Law Review, Vol. 54, Issue 4 (Summer 2003), pp. 967-986",11,na,3," Professional Ethics, Architects, Legal Profession"
0,In Search of Core Values [article],"Wendel, W. Bradley (Cited 837 times)","Legal Ethics, Vol. 16, Issue 2 (2013), pp. 350-366",9,na,na," Ethics, Legal Profession, Professional Ethics"
0,The Behavioral Psychology of Judicial Corruption: A Response to Judge Irwin and Daniel Real [article],"Wendel, W. Bradley (Cited 837 times)","McGeorge Law Review, Vol. 42, Issue 1 (2010), pp. 35-46",8,na,13," Psychiatry and Psychology, Dispute Resolution, Administration Law, Regulation"
0,How I Learned to Stop Worrying and Love Lawyer-Bashing: Some Post-Conference Reflections [article],"Wendel, W. Bradley (Cited 837 times)","South Carolina Law Review, Vol. 54, Issue 4 (Summer 2003), pp. 1027-1046",8,na,na," Ethics, Legal Profession, Professional Ethics, Industry"
0,Ethics for Skeptics [article],"Wendel, W. Bradley (Cited 837 times)","Journal of the Legal Profession, Vol. 26, pp. 165-182",8,na,2," Ethics, Evidence, Professional Ethics"
0,Explanation in Legal Scholarship: The Inferential Structure of Doctrinal Legal Analysis [article],"Wendel, W. Bradley (Cited 837 times)","Cornell Law Review, Vol. 96, Issue 4 (May 2011), pp. 1035-1074",7,na,26," Proof, Jurisprudence"
0,The Banality of Evil and the First Amendment [notes],"Wendel, W. Bradley (Cited 837 times)","Michigan Law Review, Vol. 102, Issue 6 (May 2004), pp. 1404-1422",7,na,6," First Amendment, Law and Society, Genocide, Military Law, Music"
0,"Should Law Schools Teach Professional Duties, Professional Virtues, or Something Else: A Critique of the Carnegie Report on Educating Lawyers [article]","Wendel, W. Bradley (Cited 837 times)","University of St. Thomas Law Journal, Vol. 9, Issue 2 (2011), pp. 497-541",7,na,5," Schools, Legal Education, Curriculum"
0,Moral Judgment and Professional Legitimation [article],"Wendel, W. Bradley (Cited 837 times)","Saint Louis University Law Journal, Vol. 51, Issue 4 (Summer 2007), pp. 1071-1090",6,na,1," Ethics, Legal Ethics, Civil Disobedience, Legal Profession, Professional Ethics"
0,Three Concepts of Roles [article],"Wendel, W. Bradley (Cited 837 times)","San Diego Law Review, Vol. 48, Issue 1 (February-March 2011), pp. 547-574",5,na,55," Ethics, Regulation"
0,Busting the Professional Trust: A Comment on William Simon's Ladd Lecture [article],"Wendel, W. Bradley (Cited 837 times)","Florida State University Law Review, Vol. 30, Issue 4 (Summer 2003), pp. 659-678",4,na,1," Ethics, Legal Ethics, Obligations, Legal Profession, Professional Ethics"
0,Impartiality in Judicial Ethics: A Jurisprudential Analysis [article],"Wendel, W. Bradley (Cited 837 times)","Notre Dame Journal of Law, Ethics & Public Policy , Vol. 22, Issue 2 (2008), pp. 305-324",4,na,6," Ethics, First Amendment, Government, Interest, Regulation"
0,Whose Truth: Objective and Subjective Perspectives on Truthfulness in Advocacy [article],"Wendel, W. Bradley (Cited 837 times)","Yale Journal of Law & the Humanities, Vol. 28, Issue 1 (Winter 2016), pp. 105-160",3,na,34," Professional Ethics, Ethics, Legal Ethics"
0,Government Lawyers in the Trump Administration [article],"Wendel, W. Bradley (Cited 837 times)","Hastings Law Journal, Vol. 69, Issue 1 (December 2017), pp. 275-352",3,na,82," Government, Legal Profession, President/Executive Department, Professional Ethics, Consent, Informed Consent"
0,Conflicts of Interest under the Revised Model Rules [article],"Wendel, W. Bradley (Cited 837 times)","Nebraska Law Review, Vol. 81, Issue 4 (2002-2003), pp. 1363-1378",3,na,1," Interest, Attorneys, Sports, Dispute Resolution, Ethics"
0,Razian Authority and Its Implications for Legal Ethics [article],"Wendel, W. Bradley (Cited 837 times)","Legal Ethics, Vol. 13, Issue 2 (December 2010), pp. 191-199",3,na,11," Ethics, Legal Ethics, Legal Positivism, Common Law"
0,Methodology and Perspective in the Theory of Lawyers' Ethics: A Response to Professors Woolley and Markovits [article],"Wendel, W. Bradley (Cited 837 times)","University of Toronto Law Journal , Vol. 60, Issue 4 (Fall 2010 ), pp. 1011-1020",3,na,5," Ethics, Legal Ethics, Professional Ethics"
