,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Who Is the Sovereign in Sovereign Debt: Reinterpreting a Rule-of-Law Framework from the Early Twentieth Century [article],"Lienau, Odette (Cited 10 times)","Yale Journal of International Law, Vol. 33, Issue 1 (Winter 2008), pp. 63-112",9,na,30," Debt, Rule of Law, Politics"
0,The Challenge of Legitimacy in Sovereign Debt Restructuring [article],"Lienau, Odette (Cited 10 times)","Harvard International Law Journal, Vol. 57, Issue 1 (Winter 2016), pp. 151-214",1,na,45," Bankruptcy Law, Economics, International Law"
0,Extending the European Debt Discussion to Broader International Governance [article],"Lienau, Odette (Cited 10 times)","American Society of International Law Proceedings, Vol. 105, pp. 141-146",na,na,3," Bankruptcy, Debtors and Creditors, International Loans, Securities"
0,Law in Hiding: Market Principles in the Global Legal Order [article],"Lienau, Odette (Cited 10 times)","Hastings Law Journal, Vol. 68, Issue 3 (April 2017), pp. 541-608",na,na,20," Economics, International Law, Comparative Law"
0,A Symposium on Sovereign Debt and Reputation: Introduction [article],"Lienau, Odette (Cited 10 times)","Accounting, Economics, and Law: A Convivium, Vol. 6, Issue 3 (2016), pp. 173-178",na,na,na," Banking, Comparative and Foreign Law, Contracts, International Law, Banking and Finance"
0,Embedded Contracts and a Continuum of Sovereign Debt [article],"Lienau, Odette (Cited 10 times)","Accounting, Economics, and Law: A Convivium, Vol. 6, Issue 3 (2016), pp. 263-272",na,na,na," Banking, Banking and Finance, Contracts"
