,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Legal Conventionalism [article],"Marmor, Andrei (Cited 75 times)","Legal Theory, Vol. 4, Issue 4 (December 1998), pp. 509-532",20,na,25," Sovereignty, International Law, Habeas Corpus, Jurisprudence"
0,The Immorality of Textualism [article],"Marmor, Andrei (Cited 75 times)","Loyola of Los Angeles Law Review, Vol. 38, Issue 5 (December 2005), pp. 2063-2080",12,na,15," Politics, Statutory Interpretation, Judges, Legislation, Courts"
0,Meaning and Belief in Constitutional Interpretation [article],"Marmor, Andrei (Cited 75 times)","Fordham Law Review, Vol. 82, Issue 2 (November 2013), pp. 577-596",9,na,63," Judges, Legislation, Constitutional Law, Jurisprudence, Legal Analysis and Writing, Supreme Court of the United States, Plain Language"
0,Should like cases be treated alike [article],"Marmor, Andrei (Cited 75 times)","Legal Theory, Vol. 11, Issue 1 (March 2005), pp. 27-38",7,na,20," Criminal Law and Procedure, Judges, Jurisprudence, Constitutional Law, Professional Ethics"
0,Legal Positivism: Still Descriptive and Morally Neutral [article],"Marmor, Andrei (Cited 75 times)","Oxford Journal of Legal Studies, Vol. 26, Issue 4 (Winter 2006), pp. 683-704",7,na,na," Legal Positivism, Jurisprudence"
0,The Dilemma of Authority [article],"Marmor, Andrei (Cited 75 times)","Jurisprudence, Vol. 2, Issue 1 (June 2011), pp. 121-142",5,na,10," Democracy, Legal Positivism, Ethics, Legal Ethics"
0,Authorities and Persons [article],"Marmor, Andrei (Cited 75 times)","Legal Theory, Vol. 1, Issue 3 (September 1995), pp. 337-360",4,na,2," Persons, Politics, Judges, Legislation, Statutes"
0,How law is like chess [article],"Marmor, Andrei (Cited 75 times)","Legal Theory, Vol. 12, Issue 4 (December 2006), pp. 347-371",3,na,12," Constitutional Law, Jurisprudence, Constitutions"
0,Are Constitutions Legitimate [article],"Marmor, Andrei (Cited 75 times)","Canadian Journal of Law and Jurisprudence , Vol. 20, Issue 1 (January 2007), pp. 69-94",3,na,22," Constitutions, European Union"
0,The Separation Thesis and the Limits of Interpretation [article],"Marmor, Andrei (Cited 75 times)","Canadian Journal of Law and Jurisprudence, Vol. 12, Issue 1 (January 1999), pp. 135-150",3,na,36," Separation, Legal Positivism, Jurisprudence"
0,No Easy Cases [article],"Marmor, Andrei (Cited 75 times)","Canadian Journal of Law and Jurisprudence, Vol. 3, Issue 2 (July 1990), pp. 61-80",1,na,19," Jurisprudence, Incorporation"
0,Conventions Revisited: A Reply to Critics [reviews],"Review Symposium: Andrei Marmor, Social Conventions: From Language to Law","Jurisprudence, Vol. 2, Issue 2 (December 2011), pp. 493-506",1,na,15," Criminal Procedure, Procedure, Obligations, Criminal Law, International Criminal Law"
0,Three Concepts of Objectivity [article],"Marmor, Andrei (Cited 75 times)","Tel Aviv University Law Review, Vol. 19, Issue 1 (September 1994), pp. 161-184",na,na,3," Jurisprudence, Interest"
0,The Frozen Embryos of the Nachmani Couple - A Reply to Chaim Gans [comments],"Marmor, Andrei (Cited 75 times)","Tel Aviv University Law Review, Vol. 19, Issue 2 (January 1995), pp. 433-452",na,na,na," Legislation, Gift Taxation, Taxation, Artificial Procreation"
0,On Legislative Authority and Unintentional Legislation: A Reply to Professor Waldron [article],"Marmor, Andrei (Cited 75 times)","Tel Aviv University Law Review, Vol. 21, Issue 1 (October 1997), pp. 63-80",na,na,3," Jurisprudence, Legislation, Interpretation and Construction"
0,Right-Based Justification of Punishment [article],"Marmor, Andrei (Cited 75 times)","Israel Law Review, Vol. 22, Issue 1 (Winter-Spring 1987), pp. 97-106",na,na,6," Penology, Punishment, Jurisprudence"
0,Philosophy of Law: Reply to Critics [article],Book Symposium on Andrei Marmor's Philosophy of Law,"Jerusalem Review of Legal Studies, Vol. 10, pp. 93-110",na,na,16," Philosophy, Legal Systems"
0,Do We Have a Right to Common Goods [article],"Marmor, Andrei (Cited 75 times)","Canadian Journal of Law and Jurisprudence, Vol. 14, Issue 2 (July 2001), pp. 213-226",na,na,6," Globalization, Organizations, Prisoners, Judicial Review, Liberty"
0,On the Right to Private Property and Entitlement to One's Income [article],"Marmor, Andrei (Cited 75 times)","Canadian Journal of Law and Jurisprudence, Vol. 18, Issue 1 (January 2005), pp. 69-74",na,na,28, Property
