,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Aggravation and Mitigation in Capital Cases: What Do Jurors Think [article],"Garvey, Stephen P. (Cited 1033 times)","Columbia Law Review, Vol. 98, Issue 6 (October 1998), pp. 1538-1576",126,38,20," Courts, Psychiatry and Psychology, Criminal Law and Procedure"
0,Can Shaming Punishments Educate [article],"Garvey, Stephen P. (Cited 1033 times)","University of Chicago Law Review, Vol. 65, Issue 3 (Summer 1998), pp. 733-794",103,3,41," Psychiatry and Psychology, Jurisprudence, Criminal Law and Procedure"
0,Punishment as Atonement [article],"Garvey, Stephen P. (Cited 1033 times)","UCLA Law Review, Vol. 46, Issue 6 (August 1999), pp. 1801-1858",91,1,81," Professional Ethics, Capital Punishment, Law Enforcement and Corrections, Prisoners, Sexual Abuse of Children, Criminal Law and Procedure"
0,As the Gentle Rain from Heaven: Mercy in Capital Sentencing [article],"Garvey, Stephen P. (Cited 1033 times)","Cornell Law Review, Vol. 81, Issue 5 , pp. 989-1048",87,5,16," Criminal Law and Procedure, Jurisprudence, Law and Society, Judges"
0,But Was He Sorry? The Role of Remorse in Capital Sentencing [article],"Eisenberg, Theodore (Cited 6193 times); Garvey, Stephen P. (Cited 1033 times); Wells, Martin T. (Cited 521 times)","Cornell Law Review, Vol. 83, Issue 6 , pp. 1599-1637",60,7,97," Courts, Psychiatry and Psychology, Criminal Law and Procedure, Sentencing and Punishment, Evidence"
0,Future Dangerousness in Capital Cases: Always at Issue [article],"Blume, John H. (Cited 907 times); Garvey, Stephen P. (Cited 1033 times); Johnson, Sheri Lynn (Cited 1948 times)","Cornell Law Review, Vol. 86, Issue 2 (January 2001), pp. 397-410",47,2,21, Criminal Law and Procedure
0,"Forecasting Life and Death: Juror Race, Religion, and Attitude toward the Death Penalty [article]","Eisenberg, Theodore (Cited 6193 times); Garvey, Stephen P. (Cited 1033 times); Wells, Martin T. (Cited 521 times)","Journal of Legal Studies, Vol. 30, Issue 2 - Part 1 (June 2001), pp. 277-312",45,1,25," Religion, Evidence, Criminal Law and Procedure"
0,The Emotional Economy of Capital Sentencing [article],"Garvey, Stephen P. (Cited 1033 times)","New York University Law Review, Vol. 75, Issue 1 (April 2000), pp. 26-73",42,4,33," Criminal Law and Procedure, Courts, Religion"
0,Jury Responsibility in Capital Sentencing: An Empirical Study [article],"Eisenberg, Theodore (Cited 6193 times); Garvey, Stephen P. (Cited 1033 times); Wells, Martin T. (Cited 521 times)","Buffalo Law Review, Vol. 44, Issue 2 (Spring 1996), pp. 339-380",38,3,11," Courts, Criminal Law and Procedure"
0,Correcting Deadly Confusion: Responding to Jury Inquiries in Capital Cases [article],"Garvey, Stephen P. (Cited 1033 times); Johnson, Sheri Lynn (Cited 1948 times); Marcus, Paul (Cited 713 times)","Cornell Law Review , Vol. 85, Issue 3 (1999-2000), pp. 627-655",34,na,8," Criminal Law and Procedure, Practice and Procedure"
0,Freeing Prisoners' Labor [article],"Garvey, Stephen P. (Cited 1033 times)","Stanford Law Review, Vol. 50, Issue 2 (January 1998), pp. 339-398",33,4,29," Labor, Prisoners"
0,"Restorative Justice, Punishment, and Atonement [article]","Garvey, Stephen P. (Cited 1033 times)","Utah Law Review, Vol. 2003, Issue 1 (2003), pp. 303-318",32,na,104," Punishment, Restorative Justice, Criminal Law and Procedure, Sentencing and Punishment"
0,Knockin' On Heaven's Door: Rethinking the Role of Religion in Death Penalty Cases [article],"Simson, Gary J. (Cited 728 times); Garvey, Stephen P. (Cited 1033 times)","Cornell Law Review, Vol. 86, Issue 5 (July 2001), pp. 1090-1130",29,2,25," Death, Religion, First Amendment, Politics"
