,First Name,Last Name,Title,School,School URL,School URL short
123,Seth,Orangburg,NA,Duquesne,https://www.duq.edu/,duq
124,George,Georgiev,NA,Emory,www.emory.edu/home/index.html,emory
125,Kamina,Pinder,NA,Emory,www.emory.edu/home/index.html,emory
126,Merritt,McAlister,NA,Florida,www.ufl.edu/,ufl
127,Stephanie,Bornstein,NA,Florida,www.ufl.edu/,ufl
128,Sarah,Swan,NA,Florida State,https://www.fsu.edu/,fsu
129,Lauren Henry,Scholz,NA,Florida State,https://www.fsu.edu/,fsu
130,Avlana,Eisenberg,NA,Florida State,https://www.fsu.edu/,fsu
131,Justin,Sevier,NA,Florida State,https://www.fsu.edu/,fsu
132,Janet,Freilich,NA,Fordham,https://www.fordham.edu/,fordham
133,Robert,Leider,NA,George Mason,https://www2.gmu.edu/,gmu
134,Caroline,Cecot,NA,George Mason,https://www2.gmu.edu/,gmu
135,Jennifer,Mascott,NA,George Mason,https://www2.gmu.edu/,gmu
136,Paolo,Saguato,NA,George Mason,https://www2.gmu.edu/,gmu
137,Megan,Stevenson,NA,George Mason,https://www2.gmu.edu/,gmu
138,Amanda,Levendowski,NA,Georgetown,https://www.georgetown.edu/,georgetown
139,Kevin,Arlyck,NA,Georgetown,https://www.georgetown.edu/,georgetown
140,Shon,Hopwood,NA,Georgetown,https://www.georgetown.edu/,georgetown
141,Sherally,Munshi,NA,Georgetown,https://www.georgetown.edu/,georgetown
142,Neel,Sukhatme,NA,Georgetown,https://www.georgetown.edu/,georgetown
143,Yvonne,Tew,NA,Georgetown,https://www.georgetown.edu/,georgetown
144,Jamillah Bowman,Williams,NA,Georgetown,https://www.georgetown.edu/,georgetown
145,Anne,Fleming,NA,Georgetown,https://www.georgetown.edu/,georgetown
146,Lindsey,Simon,NA,Georgia,https://www.uga.edu/,uga
147,Sandra,Mayson,NA,Georgia,https://www.uga.edu/,uga
148,Patti,Zettler,NA,Georgia State,https://www.gsu.edu/,gsu
149,Kate,Weisburd,NA,GW,https://www.gwu.edu/,gwu
150,Dmitry,Karshtedt,NA,GW,https://www.gwu.edu/,gwu
151,Nikolas,Bowie,NA,Harvard,https://www.harvard.edu/,harvard
152,Anna,Lvovsky,NA,Harvard,https://www.harvard.edu/,harvard
153,Elizabeth Papp,Kamali,NA,Harvard,https://www.harvard.edu/,harvard
154,Daphna,Renan,NA,Harvard,https://www.harvard.edu/,harvard
155,Christopher,Bavitz,NA,Harvard,https://www.harvard.edu/,harvard
156,Crystal,Yang,NA,Harvard,https://www.harvard.edu/,harvard
157,Jonathan,Darrow,NA,Harvard Medical School,https://hms.harvard.edu/,hms.harvard
158,Emily,Murphy,NA,Hastings,https://www.hastings.edu/,hastings
159,Manoj,Viswanathan,NA,Hastings,https://www.hastings.edu/,hastings
160,Veena,Dubal,NA,Hastings,https://www.hastings.edu/,hastings
161,Zachary,Price,NA,Hastings,https://www.hastings.edu/,hastings
162,Charles,Colman,NA,Hawaii,https://www.hawaii.edu/,hawaii
163,Adi,Leibovich,NA,Hebrew,https://new.huji.ac.il/en,new.huji
164,Leora Dahan,Katz,NA,Hebrew University,https://overseas.huji.ac.il/,overseas.huji
165,Matthew A.,Shapiro,NA,Hofstra,https://www.hofstra.edu/,hofstra
166,Brenner,Fissell,NA,Hofstra,https://www.hofstra.edu/,hofstra
167,Ryan,Whalen,NA,Hong Kong,https://www.hku.hk/,hku
168,Andrew C.,Michaels,NA,Houston,www.uh.edu/,uh
169,James,Nelson,NA,Houston,www.uh.edu/,uh
170,Emily,Berman,NA,Houston,www.uh.edu/,uh
171,Darin,Johnson,NA,Howard,https://home.howard.edu/,home.howard
172,Myrisha,Lewis,NA,Howard,https://home.howard.edu/,home.howard
173,Matthew,Bruckner,NA,Howard,https://home.howard.edu/,home.howard
174,Samuel P.,Newton,NA,Idaho,https://www.uidaho.edu/,uidaho
175,Katherine,Evans,NA,Idaho,https://www.uidaho.edu/,uidaho
176,Katherine,Macfarlane,NA,Idaho,https://www.uidaho.edu/,uidaho
177,David,Pimentel,NA,Idaho,https://www.uidaho.edu/,uidaho
178,Aliza,Cover,NA,Idaho,https://www.uidaho.edu/,uidaho
179,Yulanda,Curtis,NA,Illinois,https://illinois.edu/,illinois
180,Michelle,Layser,NA,Illinois,https://illinois.edu/,illinois
181,Ian,Samuel,NA,Indiana (Bloomington),https://www.indiana.edu/,indiana
182,Jessica,Eaglin,NA,Indiana (Bloomington),https://www.indiana.edu/,indiana
183,Todd,Haugh,NA,Indiana Kelley Sch of Bus,https://kelley.iu.edu/,kelley.iu
184,Brian,Owsley,NA,Indiana Tech,https://www.indianatech.edu/,indianatech
185,Gina-Gail S.,Fletcher,NA,Indiana-Bloomington,https://www.indiana.edu/,indiana
186,Pamela,Foohey,NA,Indiana-Bloomington,https://www.indiana.edu/,indiana
187,Alison,Guernsey,NA,Iowa,https://uiowa.edu/,uiowa
188,Daria Fisher,Page,NA,Iowa,https://uiowa.edu/,uiowa
189,Anya,Prince,NA,Iowa,https://uiowa.edu/,uiowa
190,Gregory,Shill,NA,Iowa,https://uiowa.edu/,uiowa
191,Sean,Sullivan,NA,Iowa,https://uiowa.edu/,uiowa
192,Cristina Carmody,Tilley,NA,Iowa,https://uiowa.edu/,uiowa
193,Mihailis,Diamantis,NA,Iowa,https://uiowa.edu/,uiowa
194,Bram T.B.,Elias,NA,Iowa,https://uiowa.edu/,uiowa
195,Sarah,Seo,NA,Iowa,https://uiowa.edu/,uiowa
196,Matthew,Turk,NA,Kelley School (Indiana),https://kelley.iu.edu/,kelley.iu
197,Christopher,Bradley,NA,Kentucky,www.uky.edu/,uky
198,Albertina,Antognini,NA,Kentucky,www.uky.edu/,uky
199,Andrew K.,Woods,NA,Kentucky,www.uky.edu/,uky
200,John,Acevedo,NA,LaVerne,https://laverne.edu/,laverne
201,Ezra,Goldschlager,NA,LaVerne,https://laverne.edu/,laverne
202,WC,Bunting,NA,"Legal Stud. Dept, Fox Bus. Sch., Temple",https://www.fox.temple.edu/departments/legal-studies-in-business/,fox.temple
203,Paul,MacMahon,NA,London School of Economics,www.lse.ac.uk/,lse
204,Goldburn P.,Maynard,NA,Louisville,louisville.edu/,lse
205,Justin,Walker,NA,Louisville,louisville.edu/,lse
206,Kate,Mitchell,NA,Loyola-Chicago,https://www.luc.edu/,luc
207,Nicholas,Bryner,NA,LSU,https://www.lsu.edu/,lsu
208,Madalyn,Wasilczuk,NA,LSU,https://www.lsu.edu/,lsu
209,Raff,Donelson,NA,LSU,https://www.lsu.edu/,lsu
210,Lecia,Vicente,NA,LSU,https://www.lsu.edu/,lsu
211,Thea,Johnson,NA,Maine,https://umaine.edu/,umaine
212,Richard,Chen,NA,Maine,https://umaine.edu/,umaine
213,Jill,Goldenziel,NA,Marine Corps University,https://www.usmcu.edu/,usmcu
214,Alex,Lemann,NA,Marquette,https://www.marquette.edu/,marquette
215,Jodie,Kirshner,NA,Marron Institute (NYU),https://marroninstitute.nyu.edu/,marroninstitute.nyu
216,William J.,Moon,NA,Maryland,https://www.umd.edu/,umd
217,Dustin,Marlan,NA,Massachusetts,https://www.massachusetts.edu/,massachusetts
218,Emily Whelan,Parento,NA,McGeorge,https://www.mcgeorge.edu/,mcgeorge
219,John,Newman,NA,Memphis,https://www.memphis.edu/,memphis
220,Andrew,Elmore,NA,Miami,miamioh.edu/,memphis
221,Kathleen,Claussen,NA,Miami,miamioh.edu/,memphis
222,Edward,Fox,NA,Michigan,https://umich.edu/,umich
223,Maureen,Carroll,NA,Michigan,https://umich.edu/,umich
224,Gabriel,Rauterberg,NA,Michigan,https://umich.edu/,umich
225,Carla,Reyes,NA,Michigan State,https://msu.edu/,msu
226,David,Blankfein-Tabachnick,NA,MIchigan State,https://msu.edu/,msu
227,Cliff,Johnson,NA,Mississippi,https://en.wikipedia.org/wiki/University_of_Mississippi,en.wikipedia.org/wiki/University_of_Mississippi
228,Randall K.,Johnson,NA,Mississippi College,https://www.mc.edu/,mc
229,Brook,Gotberg,NA,Missouri,https://missouri.edu/,missouri
230,Erika,Lietzan,NA,Missouri,https://missouri.edu/,missouri
231,Brandon,Weiss,NA,Missouri - Kansas City,https://www.umkc.edu/,umkc
232,Meredith,Edelman,NA,Monash Business School,https://www.monash.edu/business,monash
233,Cathay Y.N.,Smith,NA,Montana,https://www.umt.edu/,umt
234,Ryan,Sullivan,NA,Nebraska,https://www.unl.edu/,unl
235,Maggie,Wittlin,NA,Nebraska,https://www.unl.edu/,unl
236,Alexandra,Roberts,NA,New Hampshire,https://www.snhu.edu/,snhu
237,Nicholson,Price,NA,New Hampshire,https://www.snhu.edu/,snhu
238,Roger,Ford,NA,New Hampshire,https://www.snhu.edu/,snhu
239,Mary,Pareja,NA,New Mexico,https://www.unm.edu/,unm
240,Ari Ezra,Waldman,NA,New York Law,https://www.law.nyu.edu/,law.nyu
241,Jake,Sherkow,NA,New York Law,https://www.law.nyu.edu/,law.nyu
242,Kevin,Sobel-Read,NA,Newcastle (Australia),https://www.newcastle.edu.au/,newcastle
243,Kate Soblosky,Elengold,NA,North Carolina,https://www.unc.edu/,unc
244,Eisha,Jain,NA,North Carolina,https://www.unc.edu/,unc
245,Bradford,Short,NA,North South U (Bangladesh),www.northsouth.edu/,northsouth
246,Claudia,Haupt,NA,Northeastern,https://www.northeastern.edu/,northeastern
247,Carliss,Chatman,NA,Northern Illinois,https://www.niu.edu/,niu
248,Sarah,Fox,NA,Northern Illinois,https://www.niu.edu/,niu
249,Maybell,Romero,NA,Northern Illinois,https://www.niu.edu/,niu
250,Dan,McConkie,NA,Northern Illinois,https://www.niu.edu/,niu
251,Matthew,Tokson,NA,Northern Kentucky,https://www.nku.edu/,nku
252,Matthew,Kugler,NA,Northwestern,https://www.northwestern.edu/,northwestern
253,Sarath,Sanga,NA,Northwestern,https://www.northwestern.edu/,northwestern
