,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short
43,Kim,Talus,NA,Universities of Helsinki & Eastern Finland,www.uef.fi/en/etusivu,uef.fi/en/etusivu.edu,Tulane University,http://tulane.edu,tulane.edu
44,Rose Cuison,Villazor,NA,"University of California, Davis",http://ucdavis.edu,ucdavis.edu,Rutgers University,http://rutgers.edu,rutgers.edu
45,Andrew,Woods,NA,University of Kentucky,www.uky.edu/,uky.edu,University of Arizona,http://arizona.edu,arizona.edu
46,Kevin,Woodson,NA,Drexel University,http://drexel.edu,drexel.edu,University of Richmond,http://richmond.edu,richmond.edu
47,Ruqaiijah A.,Yearby,NA,Case Western Reserve University,http://case.edu,case.edu,Saint Louis University,http://slu.edu,slu.edu
48,Sandi,Zellmer,NA,"University of Nebraska, Lincoln",https://www.unl.edu/,unl.edu,University of Montana,http://umt.edu,umt.edu
49,Richard,Albert,NA,Boston College,http://bc.edu,bc.edu,"University of Texas, Austin",https://www.utexas.edu/,utexas.edu
50,Sahar,Aziz,NA,Texas A&M University,http://tamu.edu,tamu.edu,Rutgers University,http://rutgers.edu,rutgers.edu
51,Adam,Badawi,NA,"Washington University, St. Louis",https://wustl.edu/,wustl.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu
52,Shalanda,Baker,NA,University of Hawaii,https://wustl.edu/,wustl.edu,Northeastern University,http://northeastern.edu,northeastern.edu
53,Angela,Banks,NA,College of William & Mary,https://wustl.edu/,wustl.edu,Arizona State University,http://asu.edu,asu.edu
54,William,Boyd,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,"University of California, Los Angeles",http://ucla.edu,ucla.edu
55,Richard R.W.,Brooks,NA,Columbia University,http://columbia.edu,columbia.edu,New York University,http://nyu.edu,nyu.edu
56,Alfred,Brophy,NA,"University of North Carolina, Chapel Hill ",https://www.unc.edu/,unc.edu,University of Alabama,http://ua.edu,ua.edu
57,Eleanor,Brown,NA,George Washington University,https://www.gwu.edu/,gwu.edu,"Pennsylvania State University, University Park",https://www.psu.edu/,psu.edu
