Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Demise of Community Policing: the Impact of Post-9/11 Federal Surveillance Programs on Local Law Enforcement [article],"Dubal, Veena (Cited 4 times)",3963,"Asian American Law Journal, Vol. 19, Issue 1 (2012), pp. 35-60",19 Asian Am. L.J. 35 (2012),4,na,23,na
Escaping the Wage-Slave/Micro-Entrepreneur Binary: Platforms for Liberating Labor [article],"Dubal, Veena (Cited 4 times); Jacob, Sushil",3963,"Journal of Affordable Housing and Community Development Law, Vol. 26, Issue 1 (2017), pp. 67-68",na,na,na,1,na
Influenza Mandates and Religious Accommodation: Avoiding Legal Pitfalls [article],"Reiss, Dorit Rubinstein (Cited 61 times); Dubal, V.B. (Cited 4 times)",3963,"Journal of Law, Medicine and Ethics, Vol. 46, Issue 3 (Fall 2018), pp. 756-762",na,na,na,1,na
