Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Wisdom and Conflict Resolution: A Possible Framework for Integrated Practice [article],"Goldberg, Rachel; Blancke, Brian",4041,"Cardozo Journal of Conflict Resolution, Vol. 13, Issue 2 (Spring 2012), pp. 437-466",na,na,na,13,na
God in the process: Is there a place for religion in conflict resolution [article],"Goldberg, Rachel; Blancke, Brian",4041,"Conflict Resolution Quarterly, Vol. 28, Issue 4 (Summer 2011), pp. 377-398",28 Conflict Resol. Q. 377 (2010-2011),na,na,na,na
