Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
The Navajo Experience with the Federal Historic Preservation Program [article],"Downer, Alan S.; Roberts, Alexandra",6771,"Natural Resources & Environment, Vol. 10, Issue 3 (Winter 1996), pp. 39-42",10 Nat. Resources & Env't. 39 (1995-1996),na,na,3,na
The Navajo Experience with the Federal Historic Preservation Program(continued) [article],"Downer, Alan S.; Roberts, Alexandra",6771,"Natural Resources & Environment, Vol. 10, Issue 3 (Winter 1996), pp. 78-79",10 Nat. Resources & Env't. 78 (1995-1996),na,na,na,na
