,Unnamed: 0,First Name,Last Name,Title,School,School URL,School URL short,id
63,63,Stephanie,Bair,,BYU,https://www.byu.edu/,byu,6491
64,64,Clark,Asay,,BYU,https://www.byu.edu/,byu,4257
65,65,Tabrez,Ebrahim,,Cal Western,https://www.lostcolleges.com/california-western-university,lostcolleges.com/california-western-university,5910
66,66,I. India,Thusi,,Cal Western,https://www.lostcolleges.com/california-western-university,lostcolleges.com/california-western-university,580
67,67,Hannah,Brenner,,Cal Western,https://www.lostcolleges.com/california-western-university,lostcolleges.com/california-western-university,4300
68,68,Erin,Sheley,,Calgary,https://www.ucalgary.ca/,ucalgary,8801
69,69,Pooja R.,Dadhania,,California Western,https://www.lostcolleges.com/california-western-university,lostcolleges.com/california-western-university,3538
70,70,Catherine,Hardee,,California Western,https://www.lostcolleges.com/california-western-university,lostcolleges.com/california-western-university,3846
71,71,Greg,Reilly,,California Western,https://www.lostcolleges.com/california-western-university,lostcolleges.com/california-western-university,5678
72,72,Shawn,Fields,,Campbell,https://www.campbell.edu/,campbell,3185
73,73,Jocelyn Getgen,Kestenbaum,,Cardozo,https://cardozo.yu.edu/,cardozo.yu,4404
74,74,Michael,Pollack,,Cardozo,https://cardozo.yu.edu/,cardozo.yu,6459
75,75,Samuel,Weinstein,,Cardozo,https://cardozo.yu.edu/,cardozo.yu,6390
76,76,Claudia,Flores,,Chicago,https://www.uchicago.edu/,uchicago,5003
77,77,Daniel,Hemel,,Chicago,https://www.uchicago.edu/,uchicago,5336
78,78,Genevieve,Lakier,,Chicago,https://www.uchicago.edu/,uchicago,9382
79,79,John,Rappaport,,Chicago,https://www.uchicago.edu/,uchicago,7746
80,80,Adam,Chilton,,Chicago,https://www.uchicago.edu/,uchicago,9228
81,81,William,Partlett,,Chinese U of Hong Kong,www.cuhk.edu.hk/,cuhk,1244
82,82,Rehan,Abeyratne,,Chinese University of Hong Kong,www.cuhk.edu.hk/,cuhk,9632
83,83,Craig,Konnoth,,Colorado,https://www.colorado.edu/,colorado,3537
84,84,Benjamin,Levin,,Colorado,https://www.colorado.edu/,colorado,6030
85,85,Scott,Skinner-Thompson,,Colorado,https://www.colorado.edu/,colorado,247
86,86,Sloan,Speck,,Colorado,https://www.colorado.edu/,colorado,8637
87,87,Kristelia,Garcia,,Colorado,https://www.colorado.edu/,colorado,4393
88,88,Sharon,Jacobs,,Colorado,https://www.colorado.edu/,colorado,7632
89,89,Maeve,Glass,,Columbia,https://www.columbia.edu/,columbia,2517
90,90,Kellen,Funk,,Columbia,https://www.columbia.edu/,columbia,4146
91,91,Joshua,Mitts,,Columbia,https://www.columbia.edu/,columbia,8092
92,92,Kristen,Underhill,,Columbia,https://www.columbia.edu/,columbia,8166
93,93,Jeremy,Kessler,,Columbia,https://www.columbia.edu/,columbia,8834
94,94,Summer,Chandler,,Concordia,https://www.csp.edu/,csp,1438
95,95,Ryan,Stoa,,Concordia,https://www.csp.edu/,csp,2398
96,96,Latonia,Keith,,Concordia,https://www.csp.edu/,csp,1056
97,97,Jason,Dykstra,,Concordia,https://www.csp.edu/,csp,3729
98,98,Jessica,Berch,,Concordia,https://www.csp.edu/,csp,3842
99,99,Jamelia,Morgan,,Connecticut,https://uconn.edu/,uconn,3180
100,100,Kiel,Brennan-Marquez,,Connecticut,https://uconn.edu/,uconn,6636
101,101,Jeremy,McClane,,Connecticut,https://uconn.edu/,uconn,2065
102,102,Miguel de,Figueiredo,,Connecticut,https://uconn.edu/,uconn,627
103,103,Rachel,Goldberg,,Cornell,https://www.cornell.edu/,cornell,4041
104,104,Emad Hanzala,Atiq,,Cornell,https://www.cornell.edu/,cornell,842
105,105,Maggie,Gardner,,Cornell,https://www.cornell.edu/,cornell,390
106,106,Zachary,Clopton,,Cornell,https://www.cornell.edu/,cornell,4312
107,107,Elizabeth,Brundige,,Cornell,https://www.cornell.edu/,cornell,7438
108,108,Jed,Stiglitz,,Cornell,https://www.cornell.edu/,cornell,1427
109,109,Charisa,Smith,,CUNY,https://www2.cuny.edu/,cuny,5927
110,110,Menesh,Patel,,Davis,https://www.ucdavis.edu/,ucdavis,7789
111,111,Shayak,Sarkar,,Davis,https://www.ucdavis.edu/,ucdavis,9689
112,112,James,Dillon,,Dayton,https://udayton.edu/,udayton,2976
113,113,Shiri,Krebs,,Deakin,https://www.deakin.edu.au/,deakin,7322
114,114,Govind,Persad,,Denver,https://www.du.edu/,du,2680
115,115,Wyatt,Sassman,,Denver,https://www.du.edu/,du,9271
116,116,Erin,Archerd,,Detroit Mercy,https://www.udmercy.edu/,udmercy,4889
117,117,Hannah,Bloch-Wehba,,Drexel,https://drexel.edu/,drexel,2136
118,118,Ben,Grunwald,,Duke,https://www.duke.edu/,duke,2681
119,119,Ofer,Eldar,,Duke,https://www.duke.edu/,duke,2411
120,120,Taisu,Zhang,,Duke,https://www.duke.edu/,duke,7940
121,121,Richard,Heppner,,Duquesne,https://www.duq.edu/,duq,5715
122,122,Pablo,Echeverri,,Duquesne,https://www.duq.edu/,duq,2278
123,123,Seth,Orangburg,,Duquesne,https://www.duq.edu/,duq,1650
124,124,George,Georgiev,,Emory,www.emory.edu/home/index.html,emory,2339
125,125,Kamina,Pinder,,Emory,www.emory.edu/home/index.html,emory,5563
126,126,Merritt,McAlister,,Florida,www.ufl.edu/,ufl,6461
