,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Do Muddy Waters Shift Burdens [article],"Sperling, Carrie (Cited 20 times); Holst, Kimberly (Cited 2 times)","Maryland Law Review, Vol. 76, Issue 3 (2017), pp. 629-662",2,na,3," Criminal Law and Procedure, Jurisprudence, Legal Analysis and Writing, Psychiatry and Psychology, Race and Ethnicity, Sentencing, Evidence"
0,Non-Traditional Narrative Techniques and Effective Client Advocacy [article],"Holst, Kimberly Y.W. (Cited 2 times)","Law Teacher, Vol. 48, Issue 2 (May 2014), pp. 166-180",na,na,na," Legal Analysis and Writing, Criminal Law and Procedure"
0,End of the Line [article],"Borman, Deborah L.; Holst, Kimberly Y.W. (Cited 2 times)","Second Draft, Vol. 31, Issue 1 (Spring 2018), pp. 28-29",na,na,2," Customary Law, Human Rights, State and Local Government Law"
0,International Legal Developments The Year in Review: 2017 [article],"Palmer, Jason S. (Cited 11 times); Holst, Kimberly Y.W. (Cited 2 times)","International Law News, Vol. 46, Issue 3 (Spring 2018), pp. 31-31",na,na,na," Information Privacy, Conflict of Laws, Legal Profession"
