Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Bye-Bye Bluebook [article],"Lysaght, Pamela (Cited 62 times); Tonner, Grace (Cited 20 times)",2310,"Michigan Bar Journal, Vol. 79, Issue 8 (August 2000), pp. 1058-1061",79 Mich. B.J. 1058 (2000),"Legal Analysis and Writing, Court Opinions",12,na,1
Selecting and Designing Effective Legal Writing Problems [article],"Tonner, Grace (Cited 20 times); Pratt, Diana (Cited 25 times)",2310,"Legal Writing: The Journal of the Legal Writing Institute, Vol. 3, pp. 163-174",3 Legal Writing: J. Legal Writing Inst. 163 (1997),"Legal Writing, Assignments, Students",8,na,4
