,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Transplanting the European Court of Justice: The Experience of the Andean Tribunal of Justice [article],"Alter, Karen J. (Cited 112 times); Helfer, Laurence R. (Cited 1860 times); Saldias, Osvaldo (Cited 11 times)","American Journal of Comparative Law, Vol. 60, Issue 3 (Summer 2012), pp. 629-664",11,na,11," Courts, International Courts and Tribunals, Comparative Law, Legal Systems"
0,Legitimacy and Lawmaking: A Tale of Three International Courts [article],"Helfer, Laurence R. (Cited 1860 times); Alter, Karen J. (Cited 112 times)","Theoretical Inquiries in Law, Vol. 14, Issue 2 (2013), pp. 479-504",9,na,40," Courts, International Courts and Tribunals, Human Rights, Mandates, Economic Policy"
0,The Andean Tribunal of Justice and Its Interlocutors: Understanding Preliminary Reference Patterns in the Andean Community [article],"Helfer, Laurence R. (Cited 1860 times); Alter, Karen J. (Cited 112 times)","New York University Journal of International Law and Politics, Vol. 41, Issue 4 (Summer 2009), pp. 871-930",9,na,13," Comparative Law, Legal Systems, Intellectual Property, International Adjudication, Property, Rule of Law, Courts, International Courts and Tribunals"
0,Monitoring Compliance with Unratified Treaties: The ILO Experience [article],"Helfer, Laurence R. (Cited 1860 times)","Law and Contemporary Problems, Vol. 71, Issue 1 (Winter 2008), pp. 193-218",8,na,23," Military, War and Peace, International Law, Politics"
0,"Whither the UDRP: Autonomous, Americanized, or Cosmopolitan [article]","Helfer, Laurence R. (Cited 1860 times)","Cardozo Journal of International and Comparative Law, Vol. 12, Issue 2 (Fall 2004), pp. 493-506",7,na,8," Dispute Resolution, Intellectual Property Law, Arbitration"
0,"Backlash against International Courts in West, East and Southern Africa: Causes and Consequences [article]","Alter, Karen J. (Cited 112 times); Gathii, James T. (Cited 685 times); Helfer, Laurence R. (Cited 1860 times)","European Journal of International Law, Vol. 27, Issue 2 (May 2016), pp. 293-328",6,na,na," Courts, Persons"
0,Customary International Law: An Instrument Choice Perspective [article],"Helfer, Laurence R. (Cited 1860 times); Wuerth, Ingrid B. (Cited 6 times)","Michigan Journal of International Law, Vol. 37, Issue 4 (Summer 2016), pp. 563-610",5,na,71," Courts, Water, Customary Law, International Law"
0,Treaty Exit in the United States: Insights from the United Kingdom or South Africa [article],"Bradley, Curtis A. (Cited 4302 times); Helfer, Laurence R. (Cited 1860 times)","AJIL Unbound, Vol. 111, pp. 428-433",5,na,8," Constitutional Law, Treaties, Weapons, International Law, Legal History, Military, War and Peace, President/Executive Department"
0,International Dispute Settlement at the Trademark-Domain Name Interface [article],"Helfer, Laurence R. (Cited 1860 times)","Pepperdine Law Review, Vol. 29, Issue 1 (2001), pp. 87-100",4,na,12," Dispute Resolution, Intellectual Property Law, Civil Procedure, Names, Procedure"
0,Human Rights and Intellectual Property: Conflict or Co-Existence [article],"Helfer, Laurence R. (Cited 1860 times)","Netherlands Quarterly of Human Rights, Vol. 22, Issue 2 (2004), pp. 167-180",3,na,26," Human Rights Law, International Law, Human Rights, Industrial and Intellectual Property, Business Organizations, Intellectual Property Law"
0,Exiting Custom: Analogies to Treaty Withdrawals [article],"Helfer, Laurence R. (Cited 1860 times)","Duke Journal of Comparative & International Law, Vol. 21, Issue 1 (Fall 2010), pp. 65-80",3,na,27," International Law, Jurisprudence, International Agencies, Treaties"
0,Legal Integration in the Andes: Law-Making by the Andean Tribunal of Justice [article] *new*,"Alter, Karen J. (Cited 112 times); Helfer, Laurence R. (Cited 1860 times)","European Law Journal, Vol. 17, Issue 5 (September 2011), pp. 701-715",2,na,na," Comparative Law, Legal Systems, Courts, International Courts and Tribunals"
0,Opposing International Justice: Kenya's Integrated Backlash Strategy against the ICC [article],"Helfer, Laurence R. (Cited 1860 times); Showalter, Anne E. (Cited 1 times)","International Criminal Law Review, Vol. 17, Issue 1 (2017), pp. 1-46",1,na,2," International Criminal Court, Procedure, Criminal Law and Procedure, Administration of Justice"
0,"Politics, Power, and Public Health: A Comment on Public Health's New World Order [comments]","Helfer, Laurence R. (Cited 1860 times)","Temple Law Review, Vol. 77, Issue 2 (Summer 2004), pp. 291-296",1,na,5," Health, Politics, Public Health, Diseases, Globalization, Infectious Diseases, International Law"
0,The Demise and Rebirth of Plant Variety Protection: A Comment on Technological Change and the Design of Plant Variety Protection Regimes [comments],"Helfer, Laurence R. (Cited 1860 times)","Chicago-Kent Law Review, Vol. 82, Issue 3 (2007), pp. 1619-1628",1,na,6," Science and Technology, Agriculture, Biodiversity, South Africa"
0,Introduction to Symposium on Treaty Exit at the Interface of Domestic and International Law [article],"Helfer, Laurence R. (Cited 1860 times)","AJIL Unbound, Vol. 111, pp. 425-427",1,na,8," Politics, International Law, Constitutional Law, Legal History, Military, War and Peace"
0,New World Order or a World in Disorder - Testing the Limits of International Law [comments],"Helfer, Laurence R. (Cited 1860 times); Lindsay, Rae","American Society of International Law Proceedings, Vol. 99, pp. xi-xii",na,na,na," Stocks, Civil Rights, International Law, Planning and Zoning, Dispute Resolution"
0,The Future of the International Labour Organization [comments],"Helfer, Laurence R. (Cited 1860 times)","American Society of International Law Proceedings, Vol. 101, pp. 391-394",na,na,7," International Law, International Labor Law, Labor Law"
0,"Backlash against International Courts in West, East, and Southern Africa [comments]","Helfer, Laurence R. (Cited 1860 times)","Proceedings of the Annual Meeting, published by the American Society of International Law, Vol. 109, pp. 27-30",na,na,4," Courts, Human Rights, International Courts and Tribunals, Jurisdiction"
0,Subregional Courts in Africa: Litigating the Hybrid Right to Free Movement of Persons [article],"Helfer, Laurence R. (Cited 1860 times)","International Journal of Constitutional Law, Vol. 16, Issue 1 (January 2018), pp. 235-253",na,na,na," Courts, Persons, Civil Rights, Economic Policy, Education, Right to Education"
0,Taking Stock of Three Generations of Research on Treaty Exit [comments],"Helfer, Laurence R. (Cited 1860 times)","Israel Law Review, Vol. 52, Issue 1 (2019), pp. 103-118",na,na,na," International Law, International Agencies, Treaties"
0,World Music on a U.S. Stage: An Analysis of the Section 110(5) WTO Dispute [chapter],"Helfer, Laurence R. (Cited 1860 times)","International Intellectual Property Law & Policy, Vol. 6, pp. 48-1-48-10",na,na,1," Music, Copyright"
0,Human Rights and Intellectual Property: Conflict or Coexistence [article],"Helfer, Laurence R. (Cited 1860 times)","Minnesota Intellectual Property Review, Vol. 5, Issue 1 (2003), pp. [i]-62",na,na,na," Human Rights Law, International Law, Intellectual Property Law, Human Rights, Industrial and Intellectual Property"
0,"The Successes and Challenges for the European Court, Seen from the outside [comments]","Helfer, Laurence R. (Cited 1860 times)","AJIL Unbound, Vol. 108, pp. 74-78",na,na,5," Courts, Human Rights Law, Science and Technology, Sexuality and the Law, Human Rights, Remedies"
