,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,A Decade of Change in Regulating the Chemical Industry [comments],"Schroeder, Christopher (Cited 23 times)","Law and Contemporary Problems, Vol. 46, Issue 3 (Summer 1983), pp. 1-40",14,na,na," Industry, Unemployment, Regulation"
0,The Multistate Settlement Agreement and the Problem of Social Regulation beyond the Power of State Government [article],"Schroeder, Christopher (Cited 23 times)","Seton Hall Law Review, Vol. 31, Issue 3 (2001), pp. 612-624",7,na,2," Government, Regulation, State Government, Food and Drug Law, Home Rule, State and Local Government Law, Tobacco, Settlements"
0,Military Commissions and the War on Terrorism [article],"Schroeder, Christopher (Cited 23 times)","Litigation, Vol. 29, Issue 1 (Fall 2002), pp. 28-75",2,na,2," Criminal Law and Procedure, Military Law, International Law, Military, War and Peace, Terrorism"
0,Constitutional Power and National Health Care [article],"Schroeder, Christopher (Cited 23 times)","Cornell Journal of Law and Public Policy, Vol. 4, Issue 2 (Spring 1995), pp. 432-437",na,na,na," Health, Congress, Health Insurance, Insurance, Health Law, Jurisdiction, Regulation"
