,LateralYear,ID,First Name,LastName,Moved From,Moved To,Gender,Gender Label
82,2017,9472,Brett,Frischmann,Cardozo Law School,Villanova University,male,1
83,2013,5827,Jeanne,Fromer,Fordham University,New York University,female,0
84,2015,6025,Brian,Galle,Boston College,Georgetown University,male,1
85,2017,4466,David,Gamage,"University of California, Berkeley","Indiana University, Bloomington",male,1
86,2018,2171,Nuno,Garoupa,Texas A&M University,George Mason University,male,1
87,2018,5069,Brandon,Garrett,University of Virginia,Duke University,male,1
88,2012,2605,Bryant,Garth,Southwestern Law School,"University of California, Irvine",male,1
89,2012,5347,James,Gathii,Albany Law School,"Loyola University, Chicago",male,1
90,2012,1244,Adam,Gershowitz,University of Houston,College of William & Mary,male,1
91,2016,900,Shubha,Ghosh,"University of Wisconsin, Madison",Syracuse University,female,0
92,2017,4067,Rachel,Godsil,Seton Hall University,Rutgers University,female,0
93,2018,7402,Andrew,Gold,DePaul University,Brooklyn Law School,male,1
94,2014,4861,Michele,Goodwin,University of Minnesota,"University of California, Irvine",female,0
95,2012,4754,Leslie,Griffin,University of Houston,"University of Nevada, Las Vegas",mostly_female,0
96,2016,699,James,Grimmelman,University of Maryland,Cornell University,male,1
97,2016,8668,Joanna,Grossman,Hofstra University,Southern Methodist University,female,0
98,2014,3885,Kaaryn,Gustafson,University of Connecticut,"University of California, Irvine",unknown,2
99,2017,7844,Sarah,Haan,University of Idaho,Washington & Lee University,female,0
100,2018,7046,Philip,Hackney,Louisiana State University,University of Pittsburgh,male,1
101,2017,1585,Sam,Halabi,University of Tulsa,"University of Missouri, Columbia",mostly_male,1
102,2014,3456,Emily,Hammond,Wake Forest University,George Washington University,female,0
103,2014,9094,Bernard,Harcourt,University of Chicago,Columbia University,male,1
104,2017,8921,Woodrow,Hartzog,"Cumberland School of Law, Samford University",Northeastern University,male,1
105,2017,805,David,Hasen,"University of Colorado, Boulder","University of Florida, Gainesville",male,1
106,2014,9734,Michael,Hatfield,Texas Tech University,"University of Washington, Seattle",male,1
107,2016,8243,Grant,Hayden,Hofstra University,Southern Methodist University,male,1
108,2012,4257,Deborah,Hellman,University of Maryland,University of Virginia,female,0
109,2015,2371,C.,Hemphill,Columbia University,New York University,unknown,2
110,2012,586,Jennifer,Hendricks,University of Tennessee,"University of Colorado, Boulder",female,0
111,2013,9970,Lenese,Herbert,Albany Law School,Howard University,unknown,2
112,2016,4921,Andrew,Hessick,University of Utah,"University of North Carolina, Chapel Hill",male,1
113,2016,2653,Carissa,Hessick,University of Utah,"University of North Carolina, Chapel Hill",female,0
114,2013,4267,Julie,Hill,University of Houston,University of Alabama,female,0
115,2013,2172,Adam,Hirsch,Florida State University,University of San Diego,male,1
116,2017,1062,Allison,Hoffman,"University of California, Los Angeles",University of Pennsylvania,female,0
117,2017,1919,David,Hoffman,Temple University,University of Pennsylvania,male,1
118,2018,8826,Christopher,Holman,"University of Missouri, Kansas City",Drake University,male,1
119,2017,3906,Ryan,Holte,Southern Illinois University,University of Akron,mostly_male,1
120,2012,7499,Jill,Horwitz,University of Michigan,"University of California, Los Angeles",female,0
121,2017,866,Herbert,Hovenkamp,University of Iowa,University of Pennsylvania,male,1
122,2017,2928,Blake,Hudson,Louisiana State University,University of Houston,mostly_male,1
123,2014,8773,Christine,Hurt,University of Illinois,Brigham Young University,female,0
124,2013,6660,Darren,Hutchinson,American University,"University of Florida, Gainesville",male,1
125,2016,6716,David,Hyman,University of Illinois,Georgetown University,male,1
126,2014,9939,Darian,Ibrahim,"University of Wisconsin, Madison",College of William & Mary,mostly_male,1
127,2017,7289,Lolita,Inniss,Cleveland-Marshall College of Law,Southern Methodist University,female,0
128,2018,5470,Robert,Jackson,Columbia University,New York University,male,1
129,2014,681,Charles,Jalloh,University of Pittsburgh,Florida International University,male,1
130,2015,5404,Robert,Jerry,"University of Florida, Gainesville","University of Missouri, Columbia",male,1
131,2013,9980,Lucy,Jewel,John Marshall Law School (Atlanta) ,University of Tennessee,female,0
132,2018,217,Dalié,Jiménez,University of Connecticut,"University of California, Irvine",unknown,2
133,2018,3590,Kristin,Johnson,Seton Hall University,Tulane University,female,0
134,2016,94,RonNell,Jones,Brigham Young University,University of Utah,unknown,2
135,2013,6461,Emily,Kadens,"University of Texas, Austin",Northwestern University,female,0
136,2018,4133,Michael,Kang,Emory University,Northwestern University,male,1
137,2015,3448,Sonia,Katyal,Fordham University,"University of California, Berkeley",female,0
138,2015,7119,Daniel,Katz,Michigan State University,Chicago-Kent College of Law,male,1
139,2014,7620,Cathleen,Kaveny,University of Notre Dame,Boston College,female,0
140,2017,6675,Orin,Kerr,George Washington University,University of Southern California,male,1
141,2016,6353,Janine,Kim,Marquette University,Chapman University,female,0
142,2016,2914,Renee,Knake,Michigan State University,University of Houston,female,0
143,2018,1180,Eugene,Kontorovich,Northwestern University,George Mason University,male,1
144,2012,1100,Jody,Kraus,University of Pennsylvania,Columbia University,mostly_female,0
145,2015,1605,Charlotte,Ku,University of Illinois,Texas A&M University,female,0
146,2014,8987,Andrew,Kull,Boston University,"University of Texas, Austin",male,1
147,2018,1104,Rebecca,Kysar,Brooklyn Law School,Fordham University,female,0
148,2014,4875,Amy,Landers,McGeorge School of Law,Drexel University,female,0
149,2017,6047,Kurt,Lash,University of Illinois,University of Richmond,male,1
150,2016,982,Sarah,Lawsky,"University of California, Irvine",Northwestern University,female,0
151,2017,8416,Yoon-Ho,Lee,University of Southern California,Northwestern University,unknown,2
152,2018,5384,Jill,Lens,Baylor University,"University of Arkansas, Fayetteville",female,0
153,2012,8223,Francine,Lipman,Chapman University,"University of Nevada, Las Vegas",female,0
154,2012,8230,Jonathan,Lipson,"University of Wisconsin, Madison",Temple University,male,1
155,2012,2118,Jacqueline,Lipton,Case Western Reserve University,University of Houston,female,0
156,2013,5634,Albert,Lopez,University of Richmond,University of Alabama,male,1
157,2015,43,Erik,Luna,Washington & Lee University,Arizona State University,male,1
158,2016,1140,Andrew,Lund,Pace University,Villanova University,male,1
159,2015,3945,Glynn,Lunney,Tulane University,Texas A&M University,mostly_male,1
160,2015,3453,Timothy,Lytton,Albany Law School,Georgia State University,male,1
161,2014,8979,Robert,MacCoun,"University of California, Berkeley",Stanford University,male,1
162,2012,5728,Thomas,Main,McGeorge School of Law,"University of Nevada, Las Vegas",male,1
163,2018,2167,Suzette,Malveaux,Catholic University,"University of Colorado, Boulder",female,0
164,2018,5400,David,Marcus,University of Arizon,"University of California, Los Angeles",male,1
165,2015,3311,Bruce,Markell,Florida State University,Northwestern University,male,1
166,2015,5596,Andrei,Marmor,University of Southern California,Cornell University,male,1
