,First Name,Last Name,School,AALS Name,AALS School,Fuzz List
39,Tae-Ung,Baik,Hawaii ,Tae-Ung Baik,"University of Hawaii, William S. Richardson School of Law",100
40,Kimberly D.,Bailey,Chicago-Kent ,Kimberly Bailey,"Chicago-Kent College of Law, Illinois Institute of Technology",91
41,Shalanda H.,Baker,Northeastern ,Shalanda Baker,Northeastern University School of Law,90
42,Anthony,Baldwin,Mercer ,Anthony Baldwin,Mercer University School of Law,100
43,Sabrina,Balgamwalla,Wayne State ,Sabrina Balgamwalla,Wayne State University Law School,100
44,Alina,Ball,UC Hastings,Alina Ball,"University of California, Hastings College of the Law",100
45,Taunya Lovell,Banks,Maryland ,Taunya Lovell Banks,University of Maryland Francis King Carey School of Law,100
46,Samantha,Barbas,Buffalo ,Samantha Barbas,"University at Buffalo School of Law, The State University of New York",100
47,Z. Jill,Barclift,Mitchell Hamline ,Z. Jill Barclift,Mitchell Hamline School of Law,100
48,Kristen,Bames,Akron ,NA,NA,0
49,Mario L.,Barnes,Wash. Seattle,Mario Barnes,University of Washington School of Law,89
50,Priya,Baskaran,W. Va. Univ. ,Priya Baskaran,West Virginia University College of Law,100
51,Rishi,Batra,Texas Tech ,Rishi Batra,Texas Tech University School of Law,100
52,Teri D,Baxter,Tennessee ,Teri Baxter,University of Tennessee College of Law,92
53,Jeannine,Bell,Ind. Maurer,Jeannine Bell,Indiana University Maurer School of Law,100
54,Monica C.,Bell,Yale ,Monica Bell,Yale Law School,88
55,Patricia W.,Bennett,Mississippi Coll. ,Patricia Bennett,Mississippi College School of Law,91
56,Allison K.,Bethel,John Marshall ,Allison Bethel,UIC John Marshall Law School,90
57,Raj,Bhala,Kansas ,Raj Bhala,University of Kansas School of Law,100
58,Elise C.,Boddie,Rutgers ,Elise Boddie,Rutgers Law School,89
59,Craig M.,Boise,Syracuse ,Craig Boise,Syracuse University College of Law,88
60,Anastasia M.,Boles,Ark. Little Rock ,Anastasia Boles,"University of Arkansas at Little Rock, William H. Bowen School of Law",91
61,Alexander A,Boni-Saenz,Chicago-Kent ,Alexander Boni-Saenz,"Chicago-Kent College of Law, Illinois Institute of Technology",95
62,Nicola,Boothe Perry,Florida A&M ,Nicola Boothe Perry,Florida A&M University College of Law,100
63,Cristina,Borde,Wisconsin ,Cristina Borde,University of Wisconsin Law School,100
64,Richard A.,Boswell,UC Hastings,Richard Boswell,"University of California, Hastings College of the Law",91
65,Nikolas,Bowie,Harvard ,Nikolas Bowie,Harvard Law School,100
66,Rene,Bowser,St. Thomas-Mpls. ,Richard Bowser,Campbell University Norman Adrian Wiggins School of Law,64
67,Marie,Boyd,South Carolina ,Marie Boyd,University of South Carolina School of Law,100
68,Spencer H.,Boyer,Howard ,Spencer Boyer,Howard University School of Law,90
69,Francis A.,Boyle,Illinois ,Francis Boyle,University of Illinois College of Law,90
70,David A.,Brennen,Kentucky ,David Brennen,University of Kentucky College of Law,90
71,Sara,Bronin,Connecticut ,Sara Bronin,University of Connecticut School of Law,100
72,Carol N.,Brown,Richmond ,Carol Brown,The University of Richmond School of Law,88
73,Karen B.,Brown,George Washington ,Karen Brown,The George Washington University Law School,88
74,Kevin D.,Brown,Ind. Maurer,Kevin Brown,Indiana University Maurer School of Law,88
75,Stephanie Y.,Brown,Dist. of Columbia ,Stephanie Brown,"University of the District of Columbia, David A. Clarke School of Law",91
76,Vanessa S.,Browne-Barbour,South Texas Houston ,Vanessa Browne-Barbour,South Texas College of Law Houston,94
77,Tomiko,Brown-Nagin,Harvard ,Tomiko Brown-Nagin,Harvard Law School,100
78,Alexia,Brunet Marks,Colorado ,Alexia Brunet Marks,University of Colorado Law School,100
79,Lolita K.,Buckner Inniss,Southern Methodist ,Lolita Buckner Inniss,"Southern Methodist University, Dedman School of Law",93
80,Jessie W.,Burchfield,Ark. Little Rock ,Jessie Burchfield,"University of Arkansas at Little Rock, William H. Bowen School of Law",92
81,Alafair S.,Burke,Hofstra ,Alafair Burke,Maurice A. Deane School of Law at Hofstra University,90
82,Maxine,Burkett,Hawaii ,Maxine Burkett,"University of Hawaii, William S. Richardson School of Law",100
83,Margaret A.,Burnham,Northeastern ,Margaret Burnham,Northeastern University School of Law,91
84,Jay,Butler,William & Mary ,Jay Butler,William & Mary Law School,100
85,Paul,Butler,Georgetown ,Paul Butler,Georgetown University Law Center,100
86,Keith J.,Bybee,Syracuse ,Keith Bybee,Syracuse University College of Law,88
87,Phoenix,Cai,Denver ,Phoenix Cai,University of Denver Sturm College of Law,100
88,Terrence,Cain,Ark. Little Rock,Terrence Cain,"University of Arkansas at Little Rock, William H. Bowen School of Law",100
89,Alejandro E.,Camacho,Cal. Irvine,Alejandro Camacho,"University of California, Irvine School of Law",92
90,Christopher Ruiz,Cameron,Southwestern ,Christopher Cameron,Southwestern Law School,88
91,Ann M.,Cammett,CUNY ,Ann Cammett,City University of New York School of Law,88
92,Paul F.,Campos,Colorado ,Paul Campos,University of Colorado Law School,88
93,Sergio J.,Campos,Miami ,Sergio Campos,University of Miami School of Law,90
94,Charles E.,Cantu,St Mary’s,Charles Auffant,Rutgers Law School,71
95,Lan,Cao,Chapman ,Lan Cao,Chapman University Dale E. Fowler School of Law,100
96,Bennett,Capers,Brooklyn ,Bennett Capers,Brooklyn Law School,100
97,Kirsten Matoy,Carlson,Wayne state ,Kirsten Carlson,Wayne State University Law School,83
98,Montre Denise,Carodine,Alabama ,Montre Carodine,University of Alabama School of Law,81
99,Gilbert Paul,Carrasco,Willamette ,Gilbert Carrasco,Willamette University College of Law,86
100,Stephen L.,Carter,Yale ,Stephen Carter,Yale Law School,90
