,Min List Name,Data List Name,Min List School,Data List School,Fuzz Ratio
321,Wentong Zheng,Wentong Zheng,Univ. of Florida ,University of Florida Fredric G. Levin College of Law,100
322,Michalyn Steele,Michalyn Steele,Brigham Young ,"Brigham Young University, J. Reuben Clark Law School",100
323,Ngai Pindell,Ngai Pindell,Nevada Las Vegas,"University of Nevada, Las Vegas, William S. Boyd School of Law",100
324,Jeannine Bell,Jeannine Bell,Ind. Maurer,Indiana University Maurer School of Law,100
325,Christiana Ochoa,Christiana Ochoa,Ind. Maurer,Indiana University Maurer School of Law,100
326,Tomiko Brown-Nagin,Tomiko Brown-Nagin,Harvard ,Harvard Law School,100
327,Tomas Gomez-Arostegui,Tomas Gomez-Arostegui,Lewis & Clark ,Lewis and Clark Law School,100
328,Samir Parikh,Samir Parikh,Lewis & Clark ,Lewis and Clark Law School,100
329,Tomiko Brown-Nagin,Tomiko Brown-Nagin,Harvard ,Harvard Law School,100
330,Bret Asbury,Bret Asbury,Drexel ,Drexel University Thomas R. Kline School of Law,100
331,Shontavia Johnson,Shontavia Johnson,Drake ,Drake University Law School,100
332,Miguel Schor,Miguel Schor,Drake ,Drake University Law School,100
333,Sahar Aziz,Sahar Aziz,Rutgers ,Rutgers Law School,100
334,Dennis Kim-Prieto,Dennis Kim-Prieto,Rutgers ,Rutgers Law School,100
335,Shaakirrah Sanders,Shaakirrah Sanders,Idaho ,University of Idaho College of Law,100
336,Aaron Taylor,Aaron Taylor,St. Louis ,Saint Louis University School of Law,100
337,Sanjay Chhablani,Sanjay Chhablani,Syracuse ,Syracuse University College of Law,100
338,Phoenix Cai,Phoenix Cai,Denver ,University of Denver Sturm College of Law,100
339,Bernard Chao,Bernard Chao,Denver ,University of Denver Sturm College of Law,100
340,Nancy Leong,Nancy Leong,Denver ,University of Denver Sturm College of Law,100
