,Min List Name,Data List Name,Min List School,Data List School,Fuzz Ratio
135,Michael Z. Green,Michael Green,Texas A&M ,William & Mary Law School,90
136,Michael Z. Green,Michael Green,Texas A&M ,Wake Forest University School of Law,90
137,Robert A. Williams,Robert Williams,Jr. Univ. of Ariz.,Rutgers Law School,91
138,Robert A. Williams,Robert Williams,Jr. Univ. of Ariz.,Rutgers Law School,91
139,Laura Fernandez,Laura Hernandez,Ohio state ,Baylor University School of Law,93
140,Carmen G Gonzalez,Carmen Gonzalez,Seattle ,University of Houston Law Center,94
141,Elizabeth. Trujillo,Elizabeth Trujillo,Texas A&M ,University of Houston Law Center,97
142,Melissa Wasserman,Melissa Wasserman,Illinois ,The University of Texas School of Law,100
143,Taunya Lovell Banks,Taunya Lovell Banks,Maryland ,University of Maryland Francis King Carey School of Law,100
144,Rick Su,Rick Su,Buffalo ,University of North Carolina School of Law,100
145,Rick Su,Rick Su,Buffalo ,University of North Carolina School of Law,100
