Person,ID,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations
Gregory A. Caldeira,138.0,"The Ohio State University, Michael E. Moritz College of Law",number,0.0,134.0,79.0,70.0,0.0,0.0,13.4,12.18,0.0
Paul F. Campos,4102.0,University of Colorado Law School,number,0.0,256.0,301.0,93.0,0.0,0.0,14.22,8.83,18.0
Daniel J. Capra,4257.0,Fordham University School of Law,number,24.0,291.0,316.0,128.0,0.0,0.0,11.64,9.7,6.0
Kristen D.A. Carpenter,3627.0,University of Colorado Law School,number,2.0,340.0,699.0,260.0,0.0,0.0,26.62,24.61,0.0
Jeanne L. Carriere,7992.0,Tulane University Law School,number,6.0,102.0,95.0,31.0,0.0,0.0,20.4,20.4,0.0
Jennifer Carter-Johnson,9655.0,Michigan State University College of Law,number,0.0,13.0,42.0,13.0,0.0,0.0,2.6,2.6,5.0
Anthony J. Casey,6773.0,"The University of Chicago, The Law School",number,6.0,300.0,730.0,253.0,0.0,0.0,13.04,12.5,30.0
April Cherry,5110.0,Cleveland-Marshall College of Law at Cleveland State University,number,0.0,187.0,302.0,108.0,0.0,0.0,18.7,15.58,15.0
Andrew Chin,9683.0,University of North Carolina School of Law,number,1.0,131.0,226.0,75.0,0.0,0.0,5.7,5.24,18.0
Sarah Cleveland,5739.0,Columbia Law School,number,7.0,826.0,557.0,471.0,0.0,0.0,68.83,45.89,18.0
Neil H. Cogan,1384.0,Whittier Law School,number,7.0,147.0,59.0,9.0,0.0,0.0,53.83,49.9,0.0
Dana K. Cole,942.0,University of Akron School of Law,number,1.0,23.0,32.0,14.0,0.0,0.0,11.5,11.5,0.0
John M. Conley,5859.0,University of North Carolina School of Law,number,11.0,817.0,1009.0,357.0,0.0,0.0,16.34,10.89,38.0
Alison E. W. Conner,1983.0,"University of Hawaii, William S. Richardson School of Law",number,1.0,40.0,98.0,20.0,0.0,0.0,2.67,1.9,6.0
Patrick M. Connors,5357.0,Albany Law School,number,8.0,32.0,47.0,13.0,0.0,0.0,4.57,2.46,7.0
Richard J. Conviser,4773.0,"Chicago-Kent College of Law, Illinois Institute of Technology",number,2.0,4.0,4.0,1.0,0.0,0.0,1.33,1.0,1.0
Daniel R. Coquillette,7783.0,Boston College Law School,number,12.0,328.0,117.0,89.0,0.0,0.0,21.87,19.29,10.0
William Corbett,6792.0,Suffolk University Law School,number,18.0,515.0,521.0,309.0,0.0,0.0,17.17,15.15,40.0
Robert I. Correales,1552.0,"University of Nevada, Las Vegas, William S. Boyd School of Law",number,0.0,72.0,73.0,39.0,0.0,0.0,12.0,12.0,2.0
Margaret Costello,8696.0,University of Detroit Mercy School of Law,number,0.0,15.0,83.0,14.0,0.0,0.0,2.5,1.36,1.0
Anne M. Coughlin,8184.0,University of Virginia School of Law,number,2.0,428.0,134.0,146.0,0.0,0.0,53.5,38.91,3.0
James D. Cox,6336.0,Duke University School of Law,number,32.0,1860.0,898.0,795.0,0.0,0.0,31.53,24.8,92.0
Patience A. Crowder,6963.0,University of Denver Sturm College of Law,number,2.0,58.0,107.0,57.0,0.0,0.0,5.8,5.27,8.0
Michael Kent Curtis,8311.0,Wake Forest University School of Law,number,7.0,818.0,512.0,315.0,0.0,0.0,21.53,17.4,101.0
Robert T. Danforth,6853.0,Washington and Lee University School of Law,number,5.0,105.0,34.0,52.0,0.0,0.0,17.5,15.0,0.0
Steven Dean,1632.0,Brooklyn Law School,number,0.0,185.0,212.0,169.0,0.0,0.0,14.23,12.33,13.0
Michael DeBow,279.0,"Samford University, Cumberland School of Law",number,6.0,210.0,109.0,52.0,0.0,0.0,16.15,15.0,0.0
Nora V. Demleitner,3248.0,Washington and Lee University School of Law,number,9.0,694.0,1096.0,310.0,0.0,0.0,19.83,10.68,43.0
Joel C. Dobris,8966.0,"University of California, Davis, School of Law",number,8.0,415.0,102.0,62.0,0.0,0.0,23.06,16.6,0.0
David N. Dorfman,3482.0,Pace University Elisabeth Haub School of Law,number,3.0,86.0,58.0,40.0,0.0,0.0,43.0,43.0,0.0
Barry Hart Dubner,8971.0,Barry University Dwayne O. Andreas School of Law,number,5.0,159.0,270.0,93.0,0.0,0.0,4.3,4.18,29.0
Richard A. Duncan,2983.0,University of Nebraska College of Law,number,28.0,492.0,301.0,135.0,0.0,0.0,17.79,14.93,0.0
Ann Laquer Estin,2883.0,University of Iowa College of Law,number,5.0,596.0,575.0,355.0,0.0,0.0,22.92,17.03,54.0
Edward A. Fallone,2022.0,Marquette University Law School,number,1.0,98.0,75.0,30.0,0.0,0.0,12.25,10.89,4.0
Robert Fellmeth,1200.0,University of San Diego School of Law,number,5.0,59.0,27.0,11.0,0.0,0.0,3.11,2.36,0.0
Kendra H. Fershee,7593.0,Creighton University School of Law,number,0.0,46.0,142.0,45.0,0.0,0.0,5.75,2.3,3.0
Ted J. Fiflis,3895.0,University of Colorado Law School,number,7.0,290.0,73.0,12.0,0.0,0.0,32.22,20.71,6.0
Jonathan Barry Forman,6608.0,University of Oklahoma College of Law,number,0.0,393.0,225.0,111.0,0.0,0.0,8.36,7.42,93.0
Leslie Francis,9205.0,"University of Utah, S. J. Quinney College of Law",number,5.0,280.0,479.0,146.0,0.0,0.0,7.37,6.51,0.0
Joel L. Friedman,8855.0,Tulane University Law School,number,3.0,255.0,111.0,47.0,0.0,0.0,16.4,23.47,11.0
David Frisch,8349.0,The University of Richmond School of Law,number,16.0,348.0,192.0,81.0,0.0,0.0,13.92,10.24,40.0
Amy Gajda,820.0,Tulane University Law School,number,1.0,96.0,313.0,95.0,0.0,0.0,13.71,8.73,6.0
David Gantz,8519.0,The University of Arizona James E. Rogers College of Law,number,0.0,586.0,1563.0,248.0,0.0,0.0,13.32,8.75,122.0
Susan N. Gary,3891.0,University of Oregon School of Law,number,3.0,482.0,445.0,295.0,0.0,0.0,18.54,16.07,22.0
Deborah A. Geier,4034.0,Cleveland-Marshall College of Law at Cleveland State University,number,2.0,333.0,145.0,93.0,0.0,0.0,33.3,22.2,15.0
James Paul George,5349.0,Texas A&M University School of Law,number,19.0,202.0,284.0,71.0,0.0,0.0,7.77,5.77,0.0
Tracey E. George,3437.0,Vanderbilt University Law School,number,1.0,639.0,428.0,346.0,0.0,0.0,27.78,22.03,31.0
Ronald J. Gilson,9275.0,Columbia Law School,number,84.0,6156.0,3086.0,2271.0,0.0,0.0,109.93,96.19,176.0
Leonard Glantz,9519.0,Boston University School of Law,number,0.0,134.0,38.0,12.0,0.0,0.0,11.17,10.31,0.0
Susan K. Grebeldinger,2665.0,Wake Forest University School of Law,number,5.0,26.0,11.0,7.0,0.0,0.0,8.67,8.67,0.0
Hillary Greene,1239.0,University of Connecticut School of Law,number,1.0,111.0,107.0,92.0,0.0,0.0,9.25,6.53,12.0
Andy S. Grewal,4406.0,University of Iowa College of Law,number,4.0,50.0,230.0,48.0,0.0,0.0,4.55,3.85,5.0
Lissa Griffin,7287.0,Pace University Elisabeth Haub School of Law,number,23.0,186.0,318.0,108.0,0.0,0.0,13.29,12.4,0.0
Itai Grinberg,7369.0,Georgetown University Law Center,number,0.0,90.0,145.0,84.0,0.0,0.0,11.25,10.0,1.0
Dermot M. Groome,848.0,The Pennsylvania State University – Dickinson Law,number,0.0,16.0,201.0,15.0,0.0,0.0,3.2,2.67,0.0
Valerie P. Hans,9731.0,Cornell Law School,number,52.0,1138.0,1234.0,595.0,0.0,0.0,18.66,16.26,109.0
Brian F. Havel,2136.0,DePaul University College of Law,number,3.0,108.0,289.0,54.0,0.0,0.0,5.4,2.84,0.0
Paul Heald,7349.0,University of Illinois College of Law,number,14.0,895.0,547.0,371.0,0.0,0.0,24.86,21.31,57.0
Laura A. Hernandez,906.0,Baylor University School of Law,number,0.0,8.0,94.0,8.0,0.0,0.0,1.6,1.6,0.0
Robert A. Heverly,7689.0,Albany Law School,number,0.0,71.0,121.0,32.0,0.0,0.0,7.89,4.73,2.0
Frances R. Hill,0.0,University of Miami School of Law,number,6.0,112.0,80.0,64.0,0.0,0.0,7.47,7.0,14.0
Steven H. Hobbs,5687.0,University of Alabama School of Law,number,0.0,228.0,164.0,75.0,0.0,0.0,12.0,8.44,37.0
Heather Lauren Hughes,892.0,"American University, Washington College of Law",number,0.0,50.0,154.0,35.0,0.0,0.0,3.12,2.94,15.0
Helia Garrido Hull,7972.0,Barry University Dwayne O. Andreas School of Law,number,0.0,39.0,285.0,36.0,0.0,0.0,3.9,3.9,0.0
John A. Humbach,3019.0,Pace University Elisabeth Haub School of Law,number,13.0,499.0,310.0,109.0,0.0,0.0,19.19,14.26,0.0
Richard Hyland,5413.0,Rutgers Law School,number,3.0,145.0,149.0,23.0,0.0,0.0,18.12,13.18,0.0
Andrea Johnson,1607.0,University of Akron School of Law,number,1.0,6.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0
Craig Joyce,4731.0,University of Houston Law Center,number,14.0,585.0,336.0,185.0,0.0,0.0,32.5,17.73,40.0
Daniel Joyner,2154.0,University of Alabama School of Law,number,0.0,73.0,190.0,46.0,0.0,0.0,6.64,4.06,4.0
David Jung,5620.0,"University of California, Hastings College of the Law",number,2.0,51.0,20.0,3.0,0.0,0.0,7.29,6.38,0.0
Mary Kay Kane,4447.0,"University of California, Hastings College of the Law",number,28.0,474.0,90.0,85.0,0.0,0.0,29.62,14.81,6.0
Lawrence B. Kessler,8751.0,Maurice A. Deane School of Law at Hofstra University,number,10.0,59.0,10.0,17.0,0.0,0.0,14.75,14.75,0.0
