Person,ID,School,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations,Type
David Schwartz,6280,Chicago-Kent College of Law,11.0,50.0,38.0,13.0,1.0,0.0,8.33,3.85,0.0,
Jessica Silbey,4784,Suffolk University,0.0,151.0,397.0,128.0,7.0,0.0,8.88,5.21,0.0,
C. Scott Hemphill,2371,Columbia University,46.0,577.0,952.0,553.0,55.0,0.0,38.47,28.85,0.0,
Alan O. Sykes,956,New York University,71.0,1761.0,1273.0,715.0,74.0,0.0,30.89,25.9,69.0,
Eric L. Talley,1148,"University of California, Berkeley",8.0,934.0,414.0,421.0,43.0,0.0,67.34,53.52,0.0,
Peter K. Yu,6567,Drake University,3.0,1768.0,2483.0,1229.0,101.0,0.0,28.06,23.89,0.0,
Kathryn Zeiler,8520,Georgetown University,0.0,133.0,202.0,107.0,15.0,0.0,19.0,16.62,1.0,
Oren Bar-Gill,1470,New York University,14.0,1191.0,1013.0,1033.0,114.0,0.0,27.07,26.47,36.0,
Mitchell N. Berman,248,"University of Texas, Austin",0.0,11.0,0.0,1.0,1.0,0.0,0.42,0.3,0.0,
William Wade Buzbee,6840,Emory University,5.0,1151.0,343.0,618.0,49.0,0.0,41.11,38.37,0.0,
Jenny (I) Carroll,6876,Seton Hall University,9.0,98.0,389.0,77.0,22.0,0.0,10.89,9.8,0.0,
Andrew B. Coan,5149,"University of Wisconsin, Madison",3.0,163.0,283.0,157.0,18.0,0.0,10.19,9.06,0.0,
Jorge L. Contreras,6269,American University,0.0,230.0,756.0,209.0,34.0,0.0,17.97,13.76,0.0,
Steven M. Davidoff,7669,Ohio State University,16.0,418.0,617.0,395.0,29.0,0.0,25.89,24.68,0.0,
Dhammika Dharmapala,9081,University of Illinois,0.0,89.0,97.0,60.0,12.0,0.0,7.42,6.85,0.0,
Michael Doran,6857,Georgetown University,2.0,146.0,207.0,136.0,14.0,0.0,11.23,11.23,0.0,
Justin Driver,8653,"University of Texas, Austin",0.0,182.0,248.0,177.0,32.0,0.0,16.55,14.0,0.0,
Lee Epstein,5989,University of Southern California,4.0,1825.0,1835.0,1245.0,109.0,0.0,28.52,22.81,0.0,
Kimberly Kessler Ferzan,829,"Rutgers University, Camden",3.0,263.0,737.0,169.0,14.0,0.0,10.96,6.41,0.0,
