,First Name,Last Name,Title,School,School URL,School URL short,New School,New School URL,New School URL short,ID
53,Angela,Banks,NA,College of William & Mary,https://wm.edu/,wm.edu,Arizona State University,http://asu.edu,asu.edu,5849
55,Richard R. W.,Brooks,NA,Columbia University,http://columbia.edu,columbia.edu,New York University,http://nyu.edu,nyu.edu,4088
56,Alfred,Brophy,NA,"University of North Carolina, Chapel Hill ",https://www.unc.edu/,unc.edu,University of Alabama,http://ua.edu,ua.edu,1674
57,Eleanor,Brown,NA,George Washington University,https://www.gwu.edu/,gwu.edu,"Pennsylvania State University, University Park",https://www.psu.edu/,psu.edu,3991
58,Christopher,Bruner,NA,Washington & Lee University,https://www.wlu.edu/,wlu.edu,University of Georgia,http://uga.edu,uga.edu,4529
59,Tonya,Evans,NA,Widener University Commonwealth,https://commonwealthlaw.widener.edu/,commonwealthlaw.widener.edu,University of New Hampshire,http://unh.edu,unh.edu,9246
60,Catherine,Fisk,NA,"University of California, Irvine",http://uci.edu,uci.edu,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,3108
61,Victor,Flatt,NA,"University of North Carolina, Chapel Hill",https://www.unc.edu/,unc.edu,University of Houston,www.uh.edu/,uh.edu,6699
62,Sheila,Foster,NA,Fordham University,http://fordham.edu,fordham.edu,Georgetown University,http://georgetown.edu,georgetown.edu,255
63,Brett,Frischmann,NA,Yeshiva University,http://yu.edu,yu.edu,Villanova University,http://villanova.edu,villanova.edu,9472
64,David,Gamage,NA,"University of California, Berkeley",https://www.berkeley.edu/,berkeley.edu,"Indiana University, Bloomington",http://iub.edu,iub.edu,4466
65,Rachel,Godsil,NA,Seton Hall University,http://shu.edu,shu.edu,Rutgers University,http://rutgers.edu,rutgers.edu,4067
66,Sarah,Haan,NA,University of Idaho,http://uidaho.edu,uidaho.edu,Washington & Lee University,https://www.wlu.edu/,wlu.edu,7844
67,Sam,Halabi,NA,University of Tulsa,http://utulsa.edu,utulsa.edu,"University of Missouri, Columbia",https://missouri.edu/,missouri.edu,1585
68,Woodrow,Hartzog,NA,"Cumberland School of Law, Samford University",https://www.samford.edu/cumberlandlaw/,samford.edu,Northeastern University,http://northeastern.edu,northeastern.edu,8921
69,David,Hasen,NA,"University of Colorado, Boulder",http://colorado.edu,colorado.edu,"University of Florida, Gainesville",www.ufl.edu/,ufl.edu,805
70,Allison,Hoffman,NA,"University of California, Los Angeles",http://ucla.edu,ucla.edu,University of Pennsylvania,http://upenn.edu,upenn.edu,1062
71,David,Hoffman,NA,Temple University,http://temple.edu,temple.edu,University of Pennsylvania,http://upenn.edu,upenn.edu,1919
72,Ryan,Holte,NA,Southern Illinois University,http://siu.edu,siu.edu,University of Akron,https://www.uakron.edu/,uakron.edu,3906
73,Herbert,Hovenkamp,NA,University of Iowa,https://uiowa.edu/,uiowa.edu,University of Pennsylvania,http://upenn.edu,upenn.edu,866
