,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Constructive Trusts - A Note of Caution [article],na,"Law Quarterly Review, Vol. 109, Issue 1 (January 1993), pp. 114-131",24,na,na," Real Property, Estoppel, Trusts, Equity, Property"
0,Tobacco Advertising and Freedom of Speech - Why the Greater Does Not Include the Lesser [article],na,"UCL Jurisprudence Review, Vol. 2003, pp. 315-339",na,na,2," Communications Law, Trade Regulation, Comparative Law, First Amendment, Food and Drug Law"
0,Violence in and around Entertainment Districts: A Longitudinal Analysis of the Impact of Late-Night Lockout Legislation [article],na,"Law & Policy, Vol. 34, Issue 1 (January 2012), pp. 55-79",na,na,71," Legislation, Trade Regulation, Constitutional Law"
0,Police and Security Officer Experiences of Occupational Violence and Injury in Australia [article],na,"International Journal of Police Science & Management, Vol. 13, Issue 3 (2011), pp. 223-233",na,na,8," Law Enforcement and Corrections, Law Enforcement, Criminal Law and Procedure"
