,Title,Author(s),Journal,Cited (articles),Cited (cases),Accessed,Topics
0,Airspace in an Age of Drones [article],"Rule, Troy A. (Cited 166 times)","Boston University Law Review, Vol. 95, Issue 1 (January 2015), pp. 155-208",41,na,90," Air and Space Law, Housing Law, Law Enforcement and Corrections, Drones, Law Enforcement, Search Warrants"
0,A Downwind View of the Cathedral: Using Rule Four to Allocate Wind Rights [article],A Downwind View of the Cathedral: Using Rule Four to Allocate Wind Rights [article],"San Diego Law Review, Vol. 46, Issue 1 (February-March 2009), pp. 207-246",26,na,7," Natural Resources, Utilities, Water"
0,Shadows on the Cathedral: Solar Access Laws in a Different Light [article],"Rule, Troy A. (Cited 166 times)","University of Illinois Law Review, Vol. 2010, Issue 3 (2010), pp. 851-896",24,na,14," Easements, Natural Resources Law, Solar Energy"
0,Property Rights and Modern Energy [article],"Rule, Troy A. (Cited 166 times)","George Mason Law Review, Vol. 20, Issue 3 (Spring 2013), pp. 803-836",18,na,27," Land Use Planning, Science and Technology, Oil, Gas and Mineral"
0,Renewable Energy and the Neighbors [article],"Rule, Troy A. (Cited 166 times)","Utah Law Review, Vol. 2010, Issue 4 (2010), pp. 1223-1276",16,na,12," Environment, Land Use Planning, Taxation-State and Local, State and Local Government Law"
0,"Solar Energy, Utilities, and Fairness [article]","Rule, Troy A. (Cited 166 times)","San Diego Journal of Climate & Energy Law, Vol. 6, pp. 115-148",13,na,11, Politics
0,Airspace and the Takings Clause [article],"Rule, Troy A. (Cited 166 times)","Washington University Law Review, Vol. 90, Issue 2 (2012), pp. 421-472",9,na,6," Air and Space, Air and Space Law, Military Law, Natural Resources Law"
0,Drone Zoning [article],"Rule, Troy A. (Cited 166 times)","North Carolina Law Review, Vol. 95, Issue 1 (December 2016), pp. 133-200",9,na,73," Air and Space Law, Land Use, Communications Law, Information Privacy"
0,Using Norms to Change International Law: UN Human Rights Laws Sneaking in through the Back Door [notes],"Rule, Troy","Chicago Journal of International Law, Vol. 5, Issue 1 (Summer 2004), pp. 325-334",8,na,14," International Trade, Human Rights Law, International Law, Corporations, Multinational Corporations"
0,Transmission and Transport of Energy in the Western U.S. and Canada: A Law and Policy Road Map [article],"DuVivier, K. K. (Cited 145 times); Larsen, Nate (Cited 2 times); Lawton, Nick (Cited 11 times); Kalen, Sam (Cited 203 times); Miller, Stephen R. (Cited 109 times); Powers, Melissa (Cited 68 times); Righetti, Tara (Cited 1 times); Rule, Troy A. (Cited 166 times); Schlusser, Amelia (Cited 2 times)","Idaho Law Review, Vol. 52, Issue 1 (2016), pp. 387-[xii]",2,na,13," Indian Law, Biography, Environment, Administration Law, Science and Technology, Water"
0,Wind Rights under Property Law: Answers Still Blowing in the Wind [article],"Rule, Troy A. (Cited 166 times)","Probate and Property, Vol. 26, Issue 6 (November/December 2012), pp. 56-59",2,na,9," Fourteenth Amendment, Land Use, Land Use Planning, Water"
0,Buying Power: Utility Dark Money and the Battle over Rooftop Solar [article],"Rule, Troy A. (Cited 166 times)","LSU Journal of Energy Law and Resources, Vol. 5, Issue 1 (Spring 2017), pp. 1-20",na,na,8," Politics, Economics"
0,Airspace in a Green Economy [article],"Rule, Troy A. (Cited 166 times)","UCLA Law Review, Vol. 59, Issue 2 (December 2011), pp. 270-321",na,na,na," Air and Space Law, Military Law, Natural Resources Law, International Law, Military, War and Peace"
