Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Implied Public Rights of Action [article],"Davis, Seth (Cited 189 times)",2869,"Columbia Law Review, Vol. 114, Issue 1 (January 2014), pp. 1-84",114 Colum. L. Rev. 1 (2014),95,1,44,na
The False Promise of Fiduciary Government [article],"Davis, Seth (Cited 189 times)",2869,"Notre Dame Law Review, Vol. 89, Issue 3 (January 2014), pp. 1145-1208",89 Notre Dame L. Rev. 1145 (2013-2014),19,na,33,na
"Conditional Preemption, Commandeering, and the Values of Cooperative Federalism: An Analysis of Section 216 of Epact [notes]","Davis, R. Seth (Cited 189 times)",2869,"Columbia Law Review , Vol. 108, Issue 2 (March 2008), pp. 404-451",na,15,na,7,na
"Minor Courts, Major Questions [article]","Coenen, Michael (Cited 111 times); Davis, Seth (Cited 189 times)",2869,"Vanderbilt Law Review, Vol. 70, Issue 3 (April 2017), pp. 777-844",70 Vand. L. Rev. 777 (2017),11,na,35,na
Supreme Court Nominations and the News Media [notes],"Davis, Richard (Cited 189 times)",2869,"Albany Law Review, Vol. 57, Issue 4 (1994), pp. 1061-1080",na,10,na,52,na
Lifting the Shroud: News Media Portrayal of the U.S. Supreme Court [article],"Davis, Richard (Cited 189 times)",2869,"Communications and the Law, Vol. 9, Issue 5 (October 1987), pp. 43-60",9 Comm. & L. 43 (1987),7,na,9,na
Standing Doctrine's State Action Problem [article],"Davis, Seth (Cited 189 times)",2869,"Notre Dame Law Review, Vol. 91, Issue 2 (December 2015), pp. 585-648",91 Notre Dame L. Rev. 585 (2015-2016),7,na,26,na
State Remedies for Human Rights [article],"Davis, Seth (Cited 189 times); Whytock, Christopher A. (Cited 335 times)",2869,"Boston University Law Review, Vol. 98, Issue 2 (March 2018), pp. 397-484",98 B.U. L. Rev. 397 (2018),5,na,85,na
Tribal Rights of Action [article],"Davis, Seth (Cited 189 times)",2869,"Columbia Human Rights Law Review, Vol. 45, Issue 2 (Winter 2014), pp. 499-551",45 Colum. Hum. Rts. L. Rev. 499 (2013-2014),5,na,16,na
The Role of the Federal Judiciary in the Development of Federalism in West Germany and the United States [article],"Davis, Richard (Cited 189 times); Burnham, Jeffrey (Cited 3 times)",2869,"Boston College International and Comparative Law Review, Vol. 12, Issue 1 (Winter 1989), pp. 63-88",12 B. C. Int'l & Comp. L. Rev. 63 (1989),3,na,8,na
Equal Sovereignty as a Right against a Remedy [article],"Davis, Seth (Cited 189 times)",2869,"Louisiana Law Review, Vol. 76, Issue 1 (Fall 2015), pp. 83-120",76 La. L. Rev. 83 (Fall 2015),3,na,11,na
American Colonialism and Constitutional Redemption [comments],"Davis, Seth (Cited 189 times)",2869,"California Law Review, Vol. 105, Issue 6 (December 2017), pp. 1751-1806",na,2,na,49,na
Presidential Government and the Law of Property [article],"Davis, Seth (Cited 189 times)",2869,"Wisconsin Law Review, Vol. 2014, Issue 3 (2014), pp. 471-556",2014 Wis. L. Rev. 471 (2014),2,na,13,na
The Constitution of Our Tribal Republic [article],"Davis, Seth (Cited 189 times)",2869,"UCLA Law Review, Vol. 65, Issue 6 (September 2018), pp. 1460-1481",65 UCLA L. Rev. 1460 (2018),na,na,35,na
More than Castles in the Clouds: An introduction to Cloud Computing [article],"Freedman, Lawrence (Cited 7 times); Davis, Richard (Cited 189 times)",2869,"New Jersey Lawyer, Vol. 2012, Issue 5 (October 2012), pp. 17-20",2012 N.J. Law. 17 (2012),na,na,na,na
State Standing for Equality [article],"Davis, Seth (Cited 189 times)",2869,"Louisiana Law Review, Vol. 79, Issue 1 (Fall 2018), pp. 147-188",79 La. L. Rev. 147 (2018-2019),na,na,na,na
