Title,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics
Restating the Intentional Torts to Persons: Seeing the Forest and the Trees [article],"Simons, Kenneth W. (Cited 961 times); Cardi, W. Jonathan (Cited 244 times)",1030,"Journal of Tort Law, Vol. 10, Issue 2 (October 2017), pp. 1-62",na,6,na,na,na
Is Strict Criminal Liability in the Grading of Offences Consistent with Retributive Desert [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Oxford Journal of Legal Studies, Vol. 32, Issue 3 (Autumn 2012), pp. 445-466",na,6,na,na,na
The Relevance of Victim Conduct in Tort and Criminal Law [comments],"Simons, Kenneth W. (Cited 961 times)",1030,"Buffalo Criminal Law Review, Vol. 8, Issue 2 (2005), pp. 541-566",na,5,na,4,na
Discrimination Is a Comparative Injustice: A Reply to Hellman [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Virginia Law Review Online, Vol. 102, pp. 85-100",na,4,na,9,na
Dworkin's Two Principles of Dignity: An Unsatisfactory Nonconsequentialist Account of Interpersonal Moral Duties [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Boston University Law Review, Vol. 90, Issue 2 (April 2010), pp. 715-736",na,3,na,20,na
Doctrinal Change in Tort Law: Some Methodological Musings [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Georgia Law Review, Vol. 26, Issue 3 (Spring 1992), pp. 757-776",na,2,na,na,na
Victim Fault and Victim Strict Responsibility in Anglo-American Tort Law [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Journal of Tort Law, Vol. 8, pp. 29-66",8 J. Tort L. 29 (2015),2,na,23,na
Justice Thurgood Marshall: A Reminiscence [comments],"Simons, Kenneth W. (Cited 961 times)",1030,"Boston University Public Interest Law Journal, Vol. 3, Issue 1 (Spring 1993), pp. 1-4",na,1,na,2,na
"Self-Defense, Necessity, and the Duty to Compensate, in Law and Morality [article]","Simons, Kenneth W. (Cited 961 times)",1030,"San Diego Law Review, Vol. 55, Issue 2 (May-June 2018), pp. 357-380",na,1,na,24,na
Is Complexity a Virtue: Reconsidering Theft Crimes [reviews],"Simons, Kenneth W. (Cited 961 times)",1030,"New England Law Review, Vol. 47, Issue 4 (Summer 2013), pp. 927-948",na,1,na,7,na
The Morality of Risking [reviews],"Simons, Kenneth W. (Cited 961 times)",1030,"Jotwell: The Journal of Things We Like (Lots), Vol. 2018, pp. 1-5",na,na,na,6,na
Compensation: Justice or Revenge [article],"Simons, Kenneth W. (Cited 961 times)",1030,"San Diego Law Review, Vol. 40, Issue 4 (November-December 2003), pp. 1415-1424",na,na,na,na,na
The Crime/Tort Distinction: Legal Doctrine and Normative Perspectives [article],"Simons, Kenneth W. (Cited 961 times)",1030,"Widener Law Journal, Vol. 17, Issue 3 (2008), pp. 719-732",na,na,na,26,na
Decoding Guilty Minds: How Jurors Attribute Knowledge and Guilt [comments],"Ginther, Matthew R. (Cited 19 times); Shen, Francis X. (Cited 169 times); Bonnie, Richard J. (Cited 758 times); Hoffman, Morris B. (Cited 597 times); Jones, Owen D. (Cited 797 times); Simons, Kenneth W. (Cited 961 times)",1030,"Vanderbilt Law Review, Vol. 71, Issue 1 (January 2018), pp. 241-284",na,na,na,41,na
