School Name,URL,City,State,URL Var Clean,Short URL
University of Alaska,http://alaska.edu,Anchorage,AK,http://alaska.edu,alaska.edu
Alaska Christian College,http://alaskacc.edu,Soldotna,AK,http://alaskacc.edu,alaskacc.edu
National Park Community College,http://npcc.edu,Hot Springs National Park,AK,http://npcc.edu,npcc.edu
University of Alaska Fairbanks,http://uaf.edu,Fairbanks,AK,http://uaf.edu,uaf.edu
University of Arkansas - Fort Smith,http://uafs.edu,Fort Smith,AK,http://uafs.edu,uafs.edu
Alabama A&M University,http://aamu.edu,Huntville,AL,http://aamu.edu,aamu.edu
Athens State University,http://athens.edu,Athens,AL,http://athens.edu,athens.edu
Auburn University,http://auburn.edu,Auburn,AL,http://auburn.edu,auburn.edu
Auburn University at Montgomery,http://aum.edu,Montgomery,AL,http://aum.edu,aum.edu
Birmingham-Southern College,http://bsc.edu,Birmingham,AL,http://bsc.edu,bsc.edu
Calhoun Community College,http://calhoun.edu,Decatur,AL,http://calhoun.edu,calhoun.edu
Enterprise State Community College,http://escc.edu,Enterprise,AL,http://escc.edu,escc.edu
Faulkner State Community College,http://faulknerstate.edu,Bay Minette,AL,http://faulknerstate.edu,faulknerstate.edu
Gadsden State Community College,http://gadsdenstate.edu,Gadsden,AL,http://gadsdenstate.edu,gadsdenstate.edu
Huntingdon College,http://huntingdon.edu,Montgomery,AL,http://huntingdon.edu,huntingdon.edu
Jacksonville State University,http://jsu.edu,Jacksonville,AL,http://jsu.edu,jsu.edu
Lurleen B. Wallace Community College,http://lbwcc.edu,Andalusia,AL,http://lbwcc.edu,lbwcc.edu
University of Montevallo,http://montevallo.edu,Montevallo,AL,http://montevallo.edu,montevallo.edu
Northeast Alabama Community College,http://nacc.edu,Rainsville,AL,http://nacc.edu,nacc.edu
Northwest-Shoals Community College,http://nwscc.edu,Muscle Shoals,AL,http://nwscc.edu,nwscc.edu
Oakwood University,http://oakwood.edu,Huntsville,AL,http://oakwood.edu,oakwood.edu
Samford University,http://samford.edu,Birmingham,AL,http://samford.edu,samford.edu
Southeastern Bible College,http://sebc.edu,Birmingham,AL,http://sebc.edu,sebc.edu
University of South Alabama,http://southalabama.edu,Mobile,AL,http://southalabama.edu,southalabama.edu
Trenholm State Technical College,http://trenholmstate.edu,Montgomery,AL,http://trenholmstate.edu,trenholmstate.edu
Troy University,http://troy.edu,Troy,AL,http://troy.edu,troy.edu
Tuskegee University,http://tuskegee.edu,Tuskegee,AL,http://tuskegee.edu,tuskegee.edu
University of Alabama,http://ua.edu,Tuscaloosa,AL,http://ua.edu,ua.edu
University of Alabama at Birmingham,http://uab.edu,Birmingham,AL,http://uab.edu,uab.edu
University of Alabama in Huntsville,http://uah.edu,Huntsville,AL,http://uah.edu,uah.edu
University of North Alabama,http://una.edu,Florence,AL,http://una.edu,una.edu
Snead State Community College,http://snead.edu,Boaz,AL,http://snead.edu,snead.edu
Arkansas Northeastern College,http://anc.edu,Blytheville,AR,http://anc.edu,anc.edu
Arkansas State University,http://astate.edu,Jonesboro,AR,http://astate.edu,astate.edu
Arkansas Tech University,http://atu.edu,Russellville,AR,http://atu.edu,atu.edu
Central Baptist College,http://cbc.edu,Conway,AR,http://cbc.edu,cbc.edu
Harding University,http://harding.edu,Searcy,AR,http://harding.edu,harding.edu
Hendrix College,http://hendrix.edu,Conway,AR,http://hendrix.edu,hendrix.edu
Henderson State University,http://hsu.edu,Arkadelphia,AR,http://hsu.edu,hsu.edu
