Unnamed: 0,Person,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations,ID
,Brandon Weiss,Missouri - Kansas City,number,0,4,42,4,2,0,2,1.33,0,4138
,Meredith Edelman,Monash Business School,number,0,0,0,0,0,0,0,0,0,6277
,Cathay Y. N. Smith,Montana,number,0,6,189,6,3,0,1.2,1,0,3564
,Ryan Sullivan,Nebraska,number,0,4,127,4,1,0,0.8,0.4,0,8686
,Maggie Wittlin,Nebraska,number,0,26,72,26,5,0,6.5,4.33,0,9990
,Alexandra Roberts,New Hampshire,number,0,0,3,0,0,0,0,0,0,6771
,Mary Leto Pareja,New Mexico,number,0,9,16,7,1,0,2.25,2.25,0,303
,Kevin Sobel-Read,Newcastle (Australia),number,0,7,60,7,3,0,2.33,2.33,0,8193
,Eisha Jain,North Carolina,number,1,116,293,116,51,0,19.33,19.33,0,6323
,Claudia E. Haupt,Northeastern,number,0,100,341,94,31,0,5.56,5.56,0,9208
,Carliss N. Chatman,Northern Illinois,number,0,2,53,2,1,0,0.5,0.5,0,6463
,Sarah (I) Fox,Northern Illinois,number,2,24,109,24,6,0,5.7,4.5,0,3943
,Maybell Romero,Northern Illinois,number,0,3,18,3,3,0,1.5,1,0,1978
,Matthew Tokson,Northern Kentucky,number,1,140,182,139,23,0,28,23.33,0,3840
,Matthew D. Kugler,Northwestern,number,0,80,329,80,32,0,5.71,5.33,0,9715
,Sarath Sanga,Northwestern,number,0,18,121,18,11,0,2.57,2.57,0,2671
,Candice T. Player,Northwestern,number,0,13,153,13,5,0,4.33,4.33,0,8036
,Destiny Peery,Northwestern,number,0,19,147,19,5,0,4.75,3.8,0,3581
,Christian R. Burset,Notre Dame,number,0,0,21,0,0,0,0,0,0,5898
,Sadie Blanchard,Notre Dame,number,0,24,151,24,3,0,6,4,0,7806
,Marah Stith McLeod,Notre Dame,number,0,5,245,5,2,0,1.67,1.67,0,8068
,Veronica S. Root,Notre Dame,number,2,62,212,61,20,0,28.67,17.67,0,9916
,Dallan F. Flake,Ohio Northern,number,1,34,290,34,18,0,4.86,4.86,0,5048
,Erica Goldberg,Ohio Northern,number,0,84,269,84,21,0,10.5,10.5,0,996
,Karen Hall,Ohio Northern,number,0,0,0,0,0,0,0,0,0,8886
,Karen Powell,Ohio Northern,number,0,1,5,1,0,0,0.25,0.2,0,17
,Courtlyn G. Roser-Jones,Ohio State,number,0,2,58,2,0,0,2,2,0,808
,Matthew H. Birkhold,Ohio State,number,0,8,95,8,0,0,2.67,2,0,8470
,Bryan H. Choi,Ohio State,number,1,56,150,51,7,0,11.2,11.2,2,2631
,Ari Glogower,Ohio State,number,0,7,128,7,7,0,2.33,2.33,0,5088
,Mohamed S. Helal,Ohio State,number,0,10,64,10,1,0,2,2,1,1213
,Amna A. Akbar,Ohio State,number,0,39,363,39,26,0,9.75,9.75,0,3265
,Liz Kaminski,Ohio State,number,1,235,1395,216,56,0,36.6,53.07,0,4464
,Roger Michael Michalski,Oklahoma,number,0,42,149,42,15,0,17,9.5,0,4217
,Melissa D. Mortazavi,Oklahoma,number,0,35,224,35,12,0,11.36,11.17,0,3768
,Joshua S. Sellers,Oklahoma,number,0,10,83,10,9,0,2,2,0,9500
,Kristen Bell,Oregon,number,0,1,24,0,0,0,0.5,0.2,0,5304
,Jonathan Brown,Pace,number,0,19,228,9,2,0,1.58,1.19,0,9609
,Margot Pollans,Pace,number,0,38,223,38,12,0,7.6,5.43,4,6709
,Maggie McKinley,Penn,number,0,25,143,25,17,0,12.5,8.33,0,9408
,Ryan D. Doerfler,Penn,number,1,39,208,39,26,0,6.5,4.88,0,7197
,Martin Skladany,Penn State,number,0,15,81,15,1,0,1.67,1.5,0,2196
,Megan S. Wright,Penn State (University Park),number,0,17,209,17,12,0,1.89,1.7,0,8005
,Ben Johnson,Penn State (University Park),number,0,11,4,5,0,0,11,2.75,0,4729
,Matthew J.B. Lawrence,Penn State Dickinson,number,1,33,56,33,10,0,8.25,6.6,0,4968
,David Thaw,Pitt,number,0,71,234,71,15,0,8.88,7.89,7,4722
,Greer Donley,Pittsburgh,number,0,5,61,5,1,0,1,1,0,8210
,Jaime Lluch,Puerto Rico Poli Sci Dept,number,0,0,18,0,0,0,0,0,0,8928
,Alyssa S. King,Queen's,number,0,4,67,4,2,0,0.67,2.67,0,9198
,Jennifer A. Levine,Quinnipiac,number,0,14,32,8,0,0,0,14,0,1262
,G. Alex Sinha,Quinnipiac,number,0,7,176,7,0,0,7,7,0,1742
,Luke P. Norris,Richmond,number,0,11,145,11,9,0,5.5,5.5,0,5606
,Hayes R. Holderness,Richmond,number,0,16,84,16,7,0,4,3.2,0,5575
,Jud Campbell,Richmond,number,0,29,274,29,19,0,5.8,4.83,0,7153
,Erin R. Collins,Richmond,number,0,24,242,24,10,0,7.17,7.17,0,6807
,Paul T. Crane,Richmond,number,5,70,66,69,14,0,23.33,17.5,0,4122
,Allison Tait,Richmond,number,0,54,323,54,12,0,8.31,8,0,9853
,Adnan Zulfiqar,Rutgers,number,0,9,93,9,0,0,4.5,3.5,0,2108
,Alexis Karteron,Rutgers (Camden),number,0,1,21,1,1,0,1,1,0,217
,Kirsten Nussbaumer,Rutgers (Camden),number,0,1,1,1,0,0,1,1,0,4705
,Tracey M. Roberts,Samford (Cumberland),number,0,50,69,50,11,0,10,8.33,0,454
,Ariel Stevenson,San Diego,number,0,2,19,2,0,0,2,1,0,6949
,Vinay Harpalani,Savannah,number,0,61,206,61,5,0,6.78,5.55,0,4716
,Katherine Moore,Seton Hall,number,0,6,11,6,0,0,6,6,0,625
,Hillel J. Bavli,SMU,number,1,3,84,3,2,0,0.5,0.43,0,8393
,Natalie Nanasi,SMU,number,0,9,174,9,6,0,1.5,1.29,1,5648
,Jesse M. Cross,South Carolina,number,0,1,29,1,0,0,0.5,0.25,0,4563
,Clint Wallace,South Carolina,number,0,0,1,0,0,0,0,0,0,3309
,Annie Eisenberg,South Carolina,number,0,0,2,0,0,0,0,0,0,2143
,Bryant Smith,South Carolina,number,47,440,820,160,27,0,38.43,35.64,0,2214
,Kevin S. Haeberle,South Carolina,number,0,26,212,26,15,0,4.33,5.2,0,4160
,Marie C. Boyd,South Carolina,number,0,12,118,12,2,0,3.75,3.75,0,1890
,Nathan Richardson,South Carolina,number,0,43,136,41,2,0,3.58,3.31,0,2950
,Seth W. Stoughton,South Carolina,number,2,148,757,148,58,0,14.8,13.45,0,1490
,Tessa R. Davis,South Carolina,number,0,20,89,20,2,0,12,10,0,4127
,Hannah Haksgaard,South Dakota,number,0,21,88,21,4,0,7,3,0,4784
,Rachel VanLandingham,Southwestern,number,0,4,40,4,0,0,2,1.33,0,9544
,Sheldon A. Evans,St. John's,number,2,2,33,2,2,0,1,1,0,5538
,Kate Klonick,St. John's,number,4,29,621,29,22,0,9.67,7.25,0,67
,Lauren R. Roth,St. John's,number,1,7,164,7,1,0,1.17,1.17,0,6859
,Kate Levine,St. John's,number,0,86,235,86,39,0,17.2,14.33,0,512
,Ana Santos Rutschman,St. Louis,number,0,8,108,8,4,0,1.33,1.33,0,4912
,Rachel Moran,St. Thomas (Minnesota),number,3,931,710,321,30,0,20.69,17.57,63,3839
,Colleen Honigsberg,Stanford,number,0,17,64,16,9,0,3.4,3.4,0,915
,Gregory Ablavsky,Stanford,number,1,105,297,102,26,0,17.5,15,0,899
,Rabia Belt,Stanford,number,0,11,121,11,4,0,2.75,2.2,0,6427
,Jacob Goldin,Stanford,number,0,37,167,37,13,0,3.7,3.7,0,1192
,Lisa Larrimore Ouellette,Stanford,number,2,401,543,401,105,0,22.28,17.43,0,7858
,Christina Miller,Suffolk,number,0,2,0,2,0,0,0,2,0,2924
,Rene Reyes,Suffolk,number,0,25,141,25,2,0,2.78,2.5,0,8467
,Erin E. Braatz,Suffolk,number,0,1,15,1,1,0,1,1,0,5100
,Joshua Andresen,Surrey,number,0,6,62,6,2,0,6,3,0,2448
,Stephen Bero,Surrey,number,0,0,2,0,0,0,0,0,0,8522
,Ira K. Lindsay,Surrey,number,0,0,14,0,0,0,0,0,0,2809
,Alexander F. Sarch,Surrey,number,1,22,279,20,8,0,5.5,4.4,0,6497
,Pamela K. Bookman,Temple,number,1,75,207,71,30,0,18.75,12.5,0,8862
,Lauren M. Ouziel,Temple,number,0,37,78,32,10,0,12.33,6.17,3,8777
,Jonathan G. Rohr,Tennessee,number,0,4,177,4,3,0,2.5,1.17,0,6927
,Amber Baylor,Texas A&M,number,0,5,44,5,3,0,1.25,1.25,0,2116
,Guillermo J. Garcia Sanchez,Texas A&M,number,0,6,80,6,4,0,1.5,1.2,1,2899
,Brian N. Larson,Texas A&M,number,1,2,7,2,0,0,0.67,0.67,0,9685
,Jeff W. Slattery,Texas A&M,number,0,0,5,0,0,0,0,0,0,4014
,William Magnuson,Texas A&M,number,0,55,1079,55,16,0,6.88,6.88,5,3621
,Saurabh Vishnubhakat,Texas A&M,number,6,84,250,84,38,0,5.25,4.67,16,1226
,Tracy Hresko Pearl,Texas Tech,number,0,3,244,3,3,0,0.6,0.6,0,1665
,Kristen van de Biezenbos,Texas Tech,number,0,5,84,5,4,0,1.67,1.67,0,2550
,Agnieszka A. McPeak,Toldeo,number,6,19,321,19,7,0,5.8,5.8,0,2963
,Anna Su,Toronto,number,0,11,59,11,2,0,2.75,2.2,0,5912
,Emily A. Satterthwaite,Toronto,number,0,3,67,3,2,0,2.5,2.5,0,3689
,Ann M. Lipton,Tulane,number,1,31,155,31,17,0,5.17,5.17,0,5522
,Warigia Bowman,Tulsa,number,0,1,5,0,0,0,0.5,0.5,0,2576
,Ido Kilovaty,Tulsa,number,0,10,252,10,6,0,1.43,1.43,0,3527
,Irene Oritseweyinmi Joe,UC Davis,number,0,22,121,22,15,0,7.33,7.33,0,1084
,Aaron Y. Tang,UC Davis,number,3,51,216,51,11,0,13.83,13.5,0,8499
,Jasmine E. Harris,UC Davis,number,0,14,246,14,6,0,2.8,2.8,0,9957
,Jared A. Ellias,UC Hastings,number,0,3,15,3,2,0,0.6,0.6,0,8950
,Emily S. Taylor Poppe,UC Irvine,number,0,16,106,16,8,0,5.33,5.33,0,8572
,Leah M. Litman,UC Irvine,number,1,86,252,86,35,0,6.14,5.38,0,5144
,Alison M. Mikkor,UC Irvine,number,0,7,8,7,2,0,7,7,0,3733
,Hye-Sung Kim,UC Irvine,number,0,5,59,5,1,0,1.25,1,0,754
,Seth Davis,UC Irvine,number,0,189,433,126,38,0,14.54,11.81,0,6119
,LaToya Baldwin Clark,UCLA,number,0,2,98,2,2,0,0.67,0.5,0,4325
,Blake Emerson,UCLA,number,0,4,76,4,3,0,2,1,0,6271
,Kristen E. Eichensehr,UCLA,number,2,114,787,113,30,0,12.67,8.14,7,5482
,Beth A. Colgan,UCLA,number,9,163,573,130,34,0,10.19,8.58,13,9062
,Richard M. Re,UCLA,number,9,265,609,263,67,0,16.56,12.62,13,1847
,Emily Tendayi Achiume,UCLA,number,0,29,585,29,6,0,4.83,3.22,5,4757
,Norrinda Brown Hayat,UDC,number,0,5,103,5,4,0,2.5,2.5,0,4011
,Camden Hutchison,University of British Columbia,number,0,0,22,0,0,0,0,0,0,2248
,M. Eve Hanan,UNLV,number,0,6,138,6,2,0,3,3,0,641
,Cathy Hwang,Utah,number,1,29,189,29,12,0,4.83,4.83,0,7004
,Natalie M. Banta,Valparaiso,number,2,30,204,30,9,0,6,5,0,1114
,Lauren Rogal,Vanderbilt,number,0,2,90,2,1,0,2,1,0,3838
,Sara Mayeux,Vanderbilt,number,1,29,239,27,11,0,4.14,2.9,0,3500
,Joseph L. Fishman,Vanderbilt,number,0,42,328,42,7,0,7,7,3,8794
,Rachel Stevens,Vermont,number,0,3,10,2,0,0,0,3,0,3341
,Christine Speidel,Villanova,number,0,0,8,0,0,0,0,0,0,197
,Josephine (I) Nelson,Villanova,number,0,2,18,1,0,0,1,2,0,653
,Farah Peterson,Virginia,number,0,1,74,1,1,0,1,0.5,0,5852
,Aditya Bamzai,Virginia,number,2,66,294,59,37,0,13.2,9.43,0,8976
,Gregg Strauss,Virginia,number,0,23,62,23,11,0,7.67,7.67,0,1952
,Russell A. Gold,Wake Forest,number,0,84,172,81,26,0,11.57,13.12,0,6648
,Susannah Pollvogt,Washburn,number,0,3,38,3,0,0,3,0.75,0,9127
,Daniel Epps,Washington (St. Louis),number,1,47,347,47,25,0,7.83,6.71,0,2795
,Rachel E. Sachs,Washington (St. Louis),number,0,30,187,30,19,0,7.71,7.71,0,926
,Angelica Chazaro,Washington (University of),number,2,46,138,43,17,0,11.5,11.5,0,3053
,William Ortman,Wayne,number,0,18,101,18,11,0,3.6,3.6,0,9952
,Anne M. Choike,Wayne State,number,0,0,17,0,0,0,0,0,0,820
,Sanjukta M. Paul,Wayne State,number,0,16,94,16,6,0,8,8,0,3042
,Blanche Wiesen Cook,Wayne State,number,1,16,185,12,4,0,3,7,0,7141
,Joshua E. Weishart,West Virginia,number,0,38,173,38,17,0,9.5,7.6,0,7822
,Valarie K. Blake,West Virginia,number,0,32,146,32,9,0,6.37,6.37,0,4497
,Peter Conti-Brown,Wharton,number,0,60,124,60,10,0,8.57,6.67,0,885
,Amanda Shanor,Wharton Legal Studies,number,1,120,295,120,42,0,24,20,0,4180
,Brian D. Feinstein,Wharton Legal Studies,number,0,34,187,32,19,0,4.25,4.25,0,296
,Andrew Gilden,Willamette,number,3,130,366,126,26,0,10.83,9.29,0,8197
,Aaron D. Simowitz,Willamette,number,1,20,204,20,6,0,4,4,0,184
,Peter Molk,Willamette,number,0,56,250,56,16,0,5.6,4.67,0,755
,Jay Butler,William & Mary,number,0,6,73,6,2,0,3,3,0,2654
,Sarah R. Wasserman Rajec,William & Mary,number,1,37,72,37,7,0,7.4,7.4,0,5474
,BJ Ard,Wisconsin,number,1,45,215,45,6,0,7.5,6.43,0,6681
,Ion Meyn,Wisconsin,number,1,34,110,34,12,0,8.5,8.5,3,3872
,Yaron Nili,Wisconsin,number,0,43,275,43,30,0,6.14,6.14,1,7225
,Gwendolyn M. Leachman,Wisconsin,number,0,49,232,49,13,0,12.25,9.8,0,3761
,Miriam Seifter,Wisconsin,number,0,102,299,101,22,0,12.75,11.33,6,4630
,Robert M. Yablon,Wisconsin,number,0,20,231,17,7,0,4,2.5,0,5689
,Emily S. Bremer,Wyoming,number,4,59,167,58,12,0,5.9,5.9,0,5119
,Danielle R. Cover,Wyoming,number,0,0,61,0,0,0,0,0,0,794
,Monica C. Bell,Yale,number,0,58,432,56,40,0,11.6,7.25,0,6516
,Zachary D. Liscow,Yale,number,0,29,225,29,14,0,3.62,3.22,0,3253
,Anika Singh Lemar,Yale,number,0,14,92,12,6,0,3.5,2.8,0,160
,Issa Kohler-Hausmann,Yale,number,0,123,145,119,35,0,30.75,30.75,0,2835
,Richard R. W. Brooks,Columbia University,number,0,109,89,61,1,0,4.95,3.63,0,6082
