Unnamed: 0,Person,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations,ID
,Nancy Cantalupo,Barry,number,0,136,498,134,26,0,14.78,16.3,0,
,Denitsa R. Mavrova Heinrich,Barry,number,0,1,34,1,1,0,1,1,0,
,Michael Morley,Barry,number,4,195,340,138,42,0,9.29,6.5,0,
,Abbye Atkinson,Berkeley,number,0,20,66,20,1,0,6.67,6.67,0,
,Joy Milligan,Berkeley,number,0,48,129,42,11,0,12,9.6,0,
,Tejas N. Narechania,Berkeley,number,0,46,97,46,15,0,5.75,4.6,0,
,Catherine Crump,Berkeley,number,1,24,58,16,6,0,24,12,0,
,Hiba Hafiz,Boston College,number,0,3,93,3,3,0,1,1,0,
,Daniel Farbman,Boston College,number,0,2,21,2,1,0,2,2,0,
,Vera Korzun,Akron,number,0,10,171,10,5,0,2.5,2.5,0,117404
,Camilla Hrdy,Akron,number,0,59,129,59,17,0,6.56,5.36,0,203049
,Vera Korzun,Akron,number,0,10,171,10,5,0,2.5,2.5,0,292128
,Camilla Hrdy,Akron,number,0,59,129,59,17,0,6.56,5.36,0,315067
,Elizabeth Knowles,Akron,number,0,0,22,0,0,0,0,0,0,852395
,Benjamin J. McMichael,Alabama,number,0,3,31,3,2,0,0.6,0.5,0,266743
,Deepa Das Acevedo,Alabama,number,0,22,455,22,16,0,2.44,2.44,0,466720
,Meghan M. Boone,Alabama,number,0,8,163,8,6,0,1.6,1.6,0,677636
,Casey E. Faucon,Alabama,number,0,20,213,20,2,0,5,3.33,0,962321
,Vera Korzun,Akron,number,0,10,171,10,5,0,2.5,2.5,0,144152
,Camilla Hrdy,Akron,number,0,59,129,59,17,0,6.56,5.36,0,170212
,Elizabeth Knowles,Akron,number,0,0,22,0,0,0,0,0,0,217325
,Benjamin J. McMichael,Alabama,number,0,3,31,3,2,0,0.6,0.5,0,235433
,Deepa Das Acevedo,Alabama,number,0,22,455,22,16,0,2.44,2.44,0,254357
,Meghan M. Boone,Alabama,number,0,8,163,8,6,0,1.6,1.6,0,276683
,Casey E. Faucon,Alabama,number,0,20,213,20,2,0,5,3.33,0,304001
,Yonathan A. Arbel,Alabama,number,0,8,170,8,6,0,2.67,2.67,0,324763
,Courtney Cross,Alabama,number,0,1,68,1,1,0,0.33,0.33,0,337978
,Allyson E. Gold,Alabama,number,0,2,117,2,1,0,0.67,0.67,0,227798
,Stephen Rushin,Alabama,number,2,220,800,218,72,0,12.94,10.48,0,508986
,Jessica Eisen,Alberta,number,0,3,245,3,2,0,0.5,0.5,0,933079
,Rebecca J. Hamilton,American (Wash Coll of Law),number,0,26,347,21,2,0,5.2,3.25,0,114134
,Anita Sinha,American (Wash Coll of Law),number,0,43,279,29,8,0,10.75,7.17,0,144937
,Tammi Walker,Arizona,number,0,1,63,1,1,0,1,0.5,0,165257
,Jason Kreag,Arizona,number,3,43,130,43,19,0,8.6,7.17,0,183138
,Sergio Puig,Arizona,number,0,125,756,125,61,0,5.95,4.46,0,203504
,Justin Weinstein-Tull,Arizona State,number,2,26,132,26,12,0,8.67,5.2,0,242545
,Trevor Reed,Arizona State,number,0,0,9,0,0,0,0,0,0,262190
,Bijal Shah,Arizona State,number,0,47,184,47,13,0,7.83,6.71,4,278746
,Laura Napoli Coordes,Arizona State,number,0,20,138,20,11,0,2.86,2.86,1,299775
,Erin Adele Scharff,Arizona State,number,0,34,146,34,15,0,8.5,6.8,3,339910
,Kaiponanea T. Matsumura,Arizona State,number,2,60,98,58,19,0,15,6.67,0,217460
,Beth K. Zilberman,Arkansas,number,0,0,16,0,0,0,0,0,0,526473
,Alan M. Trammell,Arkansas-Fayetteville,number,3,72,119,68,12,0,9.14,17.14,0,699342
,Jordan B. Woods,Arkansas-Fayetteville,number,0,81,758,79,25,0,8.27,6.71,0,102739
,Sara Gosman,Arkansas-Fayetteville,number,0,3,36,3,0,0,1.5,1.5,0,150245
,Natalie Ram,Baltimore,number,6,74,244,73,20,0,9.25,8.22,0,174070
,Nadia B. Ahmad,Barry,number,0,11,128,10,4,0,1.33,1.33,0,197857
,Nancy Cantalupo,Barry,number,0,136,498,134,26,0,14.78,16.3,0,244894
,Benjamin Edwards,Barry,number,0,0,0,0,0,0,0,0,0,288796
,Denitsa R. Mavrova Heinrich,Barry,number,0,1,34,1,1,0,1,1,0,328783
,Michael Morley,Barry,number,4,195,340,138,42,0,9.29,6.5,0,375842
,Abbye Atkinson,Berkeley,number,0,20,66,20,1,0,6.67,6.67,0,103314
,Joy Milligan,Berkeley,number,0,48,129,42,11,0,12,9.6,0,125551
,Tejas N. Narechania,Berkeley,number,0,46,97,46,15,0,5.75,4.6,0,145353
,Catherine Crump,Berkeley,number,1,24,58,16,6,0,24,12,0,166796
,Hiba Hafiz,Boston College,number,0,3,93,3,3,0,1,1,0,185032
,Daniel Farbman,Boston College,number,0,2,21,2,1,0,2,2,0,203496
,Jeffrey M. Cohen,Boston College,number,0,9,11,6,1,0,7.5,4,0,225589
,M. Ryan Williams,Boston College,number,2,242,410,237,38,0,29.85,39.18,0,295892
,Natalya Shnitser,Boston College,number,0,32,57,32,4,0,8,6.4,0,296982
,Portia Pedro,Boston University,number,0,0,46,0,0,0,0,0,0,503393
,Scott Hirst,Boston University,number,0,67,174,67,25,0,11.17,11.17,0,681669
,Ahmed Ghappour,Boston University,number,1,17,382,17,8,0,8.5,5.67,1,874965
,Rory Van Loo,Boston University,number,0,74,746,74,44,0,9.25,8.22,8,106070
,Rebecca Ingber,Boston University,number,0,67,218,67,19,0,8.38,7.44,10,127996
,Julian Arato,Brooklyn,number,0,58,323,57,13,0,7.25,6.44,0,163237
,K. Sabeel Rahman,Brooklyn,number,0,53,621,53,34,0,7.57,3.79,0,186462
,Jocelyn Simonson,Brooklyn,number,4,169,491,168,70,0,21.12,16.9,0,219679
,Nicole Hallett,Buffalo,number,0,4,83,4,2,0,1,0.8,0,245709
,Jonathan Manes,Buffalo,number,1,5,95,5,2,0,1.67,1.67,1,265670
,Stephanie H. Barclay,BYU,number,1,27,283,27,4,0,6.75,4.5,0,286269
