,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Person,School,Type,Cited by Cases,Cited by Articles,Accessed (Past 12 Months),Cited by Articles (Past 10 Years),Cited by Articles (Past 1-2 years),ScholarCheck Rank,Average Citations per Article,Average Citations per Document,Self-Citations
193,193.0,193.0,0.0,Andrew Kull,"University of Texas, Austin",number,38.0,506.0,424.0,207.0,3.0,0.0,22.0,14.88,0.0
194,194.0,194.0,0.0,Amy L. Landers,Drexel University,number,3.0,150.0,113.0,121.0,14.0,0.0,20.5,15.45,0.0
195,195.0,195.0,0.0,Jacqueline D. Lipton,University of Akron,number,5.0,477.0,1004.0,336.0,19.0,0.0,21.64,19.4,0.0
196,196.0,196.0,0.0,Robert MacCoun,Stanford University,number,1.0,256.0,213.0,110.0,9.0,0.0,30.78,28.73,0.0
197,197.0,197.0,0.0,Patricia A. McCoy,Boston College,number,25.0,688.0,468.0,464.0,23.0,0.0,32.76,28.67,0.0
198,198.0,198.0,0.0,Edward R. Morrison,Columbia University,number,6.0,359.0,338.0,295.0,29.0,0.0,23.93,21.12,0.0
199,199.0,199.0,0.0,Samuel Moyn,Harvard University,number,0.0,20.0,559.0,20.0,9.0,0.0,2.0,1.43,0.0
200,200.0,200.0,0.0,Xuan-Thao Nguyen,"Indiana University, Indianapolis",number,2.0,175.0,439.0,167.0,14.0,0.0,6.25,5.3,0.0
201,201.0,201.0,0.0,Wendell Pritchett,University of Pennsylvania,number,0.0,208.0,335.0,110.0,9.0,0.0,52.75,35.5,0.0
202,202.0,202.0,0.0,Intisar Rabb,Harvard University,number,0.0,34.0,139.0,33.0,3.0,0.0,8.4,7.07,4.0
203,203.0,203.0,0.0,Robert J. Rhee,"University of Florida, Gainesville",number,12.0,390.0,699.0,334.0,35.0,0.0,15.6,13.45,0.0
204,204.0,204.0,0.0,L. Song Richardson,"University of California, Irvine",number,9.0,401.0,1196.0,400.0,86.0,0.0,26.73,21.11,0.0
205,205.0,205.0,0.0,Kalyani Robbins,Florida International University,number,0.0,96.0,200.0,67.0,5.0,0.0,8.0,6.0,6.0
206,206.0,206.0,0.0,Troy A. Rule,Arizona State University,number,0.0,167.0,289.0,159.0,19.0,0.0,16.7,12.85,8.0
207,207.0,207.0,0.0,Gregory Shaffer,"University of California, Irvine",number,0.0,501.0,1083.0,400.0,57.0,0.0,13.18,9.45,0.0
208,208.0,208.0,0.0,David Alan Sklansky,Stanford University,number,65.0,1403.0,1069.0,916.0,115.0,0.0,114.91,102.44,0.0
209,209.0,209.0,0.0,A. Benjamin Spencer,University of Virginia,number,23.0,750.0,249.0,717.0,49.0,0.0,39.47,37.5,23.0
210,210.0,210.0,0.0,Paul J. Stancil,Brigham Young University,number,0.0,104.0,131.0,99.0,15.0,0.0,11.56,11.56,0.0
211,211.0,211.0,0.0,Adam N. Steinman,University of Alabama,number,21.0,504.0,545.0,453.0,56.0,0.0,22.91,18.0,0.0
212,212.0,212.0,0.0,Kristen A. Stilt,Harvard University,number,0.0,72.0,98.0,41.0,0.0,0.0,22.270000000000003,22.270000000000003,0.0
213,213.0,213.0,0.0,David M. Studdert,Stanford University,number,1.0,250.0,202.0,120.0,7.0,0.0,13.89,11.9,0.0
214,214.0,214.0,0.0,Eric L. Talley,Columbia University,number,13.0,929.0,333.0,418.0,41.0,0.0,71.53999999999998,53.2,0.0
215,215.0,215.0,0.0,Christopher Tomlins,"University of California, Berkeley",number,0.0,135.0,313.0,86.0,11.0,0.0,13.53,7.96,0.0
216,216.0,216.0,0.0,Gerald Torres,Cornell University,number,2.0,723.0,502.0,214.0,22.0,0.0,23.32,15.72,0.0
217,217.0,217.0,0.0,Deborah Tuerkheimer,Northwestern University,number,41.0,386.0,1004.0,326.0,43.0,0.0,17.55,14.3,0.0
218,218.0,218.0,0.0,Kenneth M. Ayotte,"University of California, Berkeley",number,4.0,230.0,311.0,207.0,28.0,0.0,74.3,72.73,0.0
219,219.0,219.0,0.0,Teri Dobbins Baxter,University of Tennessee,number,0.0,65.0,127.0,52.0,9.0,0.0,6.5,6.5,0.0
220,220.0,220.0,0.0,Andrea K. Bjorklund,McGill University,number,3.0,164.0,393.0,108.0,9.0,0.0,12.62,8.63,0.0
221,221.0,221.0,0.0,Richard Brooks,Columbia University,number,0.0,108.0,78.0,60.0,0.0,0.0,18.0,10.8,0.0
